Sample_ID	Corg	N	C/N	POXC	CEC	BS	Mg	K	Ca	P	Mn	Fe	Cu	Zn	Na	Mo	Sand	Silt	Clay	Mno	Feo	Fed	Mg_KW	K_KW	Ca_KW	P_KW	Mn_KW	Fe_KW	Cu_KW	Zn_KW	Al_KW	Mo_KW	pH_H2O	pH_CaCl2
544H	14.7428447	1.987669766	7.42068837	502.5090226	12.3013719	114.0690396	18.47416526	23.98909976	114.5133544	2.73852466	2.444900994	7.071181833	0.119561379	0.057238842	7.149577279	0.000454383	50.71417702	837.7347337	111.5510893	0.4965	2.4865	8.308823529	3647.151683	4730.925473	3312.120648	478.0441133	667.5091754	18872.8811	19.2249943	50.80510502	21486.17909	0.393162475	6.25	5.158
545H	14.56020296	2.048555911	7.107883572	483.5741868	12.75250963	105.9530884	16.32002029	14.89975969	94.38490303	2.172588609	1.708687724	7.055755609	0.121312159	0.059294887	7.604170162	0.000430581	54.9529066	833.0564856	111.9906077	0.434	2.454	7.951485149	3760.666186	4650.192138	3287.265924	473.2665077	763.0760701	19166.39503	20.53950184	52.53644667	21791.1295	0.399943759	6.41	5.66
546H	14.50395286	1.996300593	7.266391103	453.634489	12.88890011	106.9806525	18.00721841	13.69492583	114.0126391	2.217383237	1.575923915	6.952920476	0.126663588	0.057365174	10.54795221	0.000593236	54.26394828	823.1698218	122.5662299	0.4725	2.459	8.418811881	3661.277275	4189.71309	3213.542688	461.6243054	748.8644497	18727.46165	19.91868649	51.36076704	20350.39734	0.412438754	6.53	5.75
553H	13.48743796	1.841297224	7.341315794	261.5801598	9.699461253	94.77400961	13.45947064	14.8320627	69.59726699	1.913184605	3.663471957	13.03443234	0.144753043	0.110614384	5.884082146	0.0002445	58.03820528	838.9382866	103.0235082	0.442	2.3155	6.958163265	3233.485401	3833.445576	2779.762183	420.6207209	669.5158916	16855.02035	19.52026644	45.03077603	18501.02203	0.399092221	5.69	4.66
554H	13.24377954	1.8127428	7.306056993	277.8868921	9.447663448	107.3052583	15.20893735	19.5142471	62.93208902	2.406202293	3.253017595	14.31999388	0.146981669	0.091370105	6.328005555	0.00033121	54.9810271	840.485029	104.5339439	0.449	2.2825	6.943	3415.735111	4236.665865	2801.604039	456.8546542	703.5075688	17595.67993	20.03558244	46.73496532	19567.97237	0.416071955	5.79	4.8
555H	13.26540947	1.730679199	7.665550207	254.3514022	9.206357219	104.9108031	15.03901289	29.05227239	73.82060363	3.1509722	3.835707147	13.21606885	0.150541116	0.096493283	3.475216958	0.00056873	54.56879203	841.2284426	104.2027654	0.3675	2.2175	7.071287129	3414.219514	4720.476929	2371.504991	477.46813	699.8030709	17528.63868	22.23601273	46.78680129	20438.45511	0.327857719	5.88	4.84
556H	12.70326734	1.712553054	7.420493951	274.5246793	9.83585173	103.4534539	14.79769705	17.04156999	75.27400819	2.12313565	2.950753814	8.140501355	0.126445267	0.071282422	7.082353106	0.000300039	54.34686544	842.2164639	103.4366707	0.3695	2.254	7.157843137	3227.224841	4119.171662	2527.189083	440.2489588	630.3428599	16547.42203	18.19276667	43.48835403	18789.68657	0.336865998	5.91	4.88
557H	12.37011671	1.674394235	7.389353166	264.2699301	9.940767482	101.5746904	14.99992355	13.32798638	65.40051701	1.87505019	2.753205393	11.51547123	0.143373744	0.074620607	7.459546359	0.000497978	54.21884105	841.46677	104.3143889	0.4105	2.2855	7.102020202	3341.698859	4168.943009	2679.063301	428.4737177	606.1406312	16757.95138	18.88713138	43.97069385	19221.20008	0.349515823	6.03	4.96
558H	12.3046416	1.615300402	7.618517363	247.6269765	10.00371693	105.4833201	13.95254678	11.02907358	78.36358981	1.739890939	2.647298444	9.793534021	0.126115504	0.078991048	7.247344345	0.000494796	51.87675614	836.5134873	111.6097565	0.421	2.2605	7.262	3305.054062	3974.758288	2596.748017	425.2132609	609.8683995	16813.76401	18.52609121	45.77668936	18735.18421	0.35259685	6.14	5.04
559H	17.37725675	2.301548347	7.550778042	386.4863672	20.0037468	95.12914194	14.19035128	4.899698997	190.7068589	0.832973882	1.393548414	1.080678804	0.082629721	0.022125495	9.629166576	0.000186121	31.25040939	824.0077679	144.7418227	0.39	3.1005	10.64607843	4904.748947	6135.950025	3814.120854	507.2409307	660.0616248	24224.40493	24.01249521	64.26607437	29520.54146	0.40713839	7.01	5.98
560H	18.23512614	2.361953557	7.721745505	462.1361563	19.59727538	92.75296892	15.33530167	8.385555749	137.0268568	1.124459146	1.489550305	3.060542511	0.082589309	0.024106293	6.632364334	0.000349359	39.06341262	816.8933575	144.0432299	0.3805	3.0725	10.90505051	5055.095401	6345.865899	3693.76922	522.9921107	669.2347275	24461.83109	25.19498759	65.22928185	30052.89802	0.420247868	6.9	5.81
561H	18.52934182	2.411123663	7.686279755	374.3824009	19.24291568	96.16741426	17.29508466	11.02593854	158.5699385	1.690203793	1.60820301	2.72763999	0.104388887	0.029947226	6.904287306	0.000308934	28.56773751	825.9842839	145.4479786	0.404	3.0015	10.5754902	4989.577877	6212.610459	3576.871948	535.8874291	668.8708606	23951.63018	24.15564775	63.692027	29153.89759	0.440967469	6.77	5.71
562H	18.21445405	2.428169176	7.501425956	429.0183597	19.39925084	94.34287754	19.91702588	10.05886101	157.7095671	1.250618674	1.961338247	0.821433084	0.083100521	0.021350945	7.268850096	0.000239377	27.5255472	825.4359359	147.0385169	0.4195	3.077	10.70098039	4978.685726	6249.195295	3570.801704	530.7362441	648.8385754	24182.48875	24.56491817	63.06049918	29339.85724	0.43618089	6.8	5.77
563H	18.46987545	2.445886582	7.551387119	424.8155937	19.96205742	95.52280299	15.77224975	6.638376452	133.8476342	1.258661773	1.641499058	1.913485613	0.081320983	0.019569051	6.196073693	0.000376999	29.43009815	821.0780396	149.4918622	0.4115	3.158	11.21414141	5231.868152	6504.958838	3597.208936	561.1496338	697.1369371	25561.58589	25.77579925	67.58562035	30824.57862	0.475826458	6.74	5.61
564H	18.91507328	2.425458953	7.801370556	461.799935	19.96205742	96.437758	18.1622321	5.329935156	120.3900616	1.470888104	1.938733739	1.113285188	0.085955527	0.023714774	10.83426114	0.000135007	25.25417829	823.2373274	151.5084943	0.4025	3.196	11.25	5374.589755	6646.074519	3397.388336	563.5378517	697.100264	26160.09016	25.85257799	68.14530515	31875.56418	0.425889785	6.61	5.53
566H	15.97940922	2.061524391	7.751258868	435.0703429	12.79148474	103.0513327	14.36597644	12.32198701	117.4460007	2.206353714	1.895904396	4.024486606	0.121635715	0.051340153	9.472116089	0.000772283	56.27700502	840.7484455	102.9745495	0.447	2.2505	7.374509804	3308.731466	4151.650246	2810.448705	422.8128922	740.5356002	17608.40558	18.04734612	50.36563207	19767.73122	0.377392918	6.63	5.64
567H	17.31457114	2.162800059	7.997815387	501.810268	13.32302428	109.1429728	22.89779606	17.93790143	196.0514074	3.177094103	1.563686082	1.644328479	0.115384881	0.038799139	8.057214463	0.001952675	56.23663653	840.4115832	103.3517802	0.3735	2.314	7.051	3190.371576	4073.221502	3098.149174	446.3489687	686.0243901	16731.95495	17.06042312	48.43807099	18729.69276	0.430010478	6.95	5.99
568H	18.20702553	2.272146046	8.01314051	534.5918433	14.57370556	99.10544324	23.09316614	22.86854981	177.3814607	3.987516963	1.178282476	1.7509448	0.105433572	0.040715242	6.875089433	0.002713332	56.139813	838.322184	105.538003	0.4	2.441	6.940594059	3172.408964	4134.856648	3229.783703	433.4573763	727.6162158	16460.79997	16.7806713	50.73278664	18544.66344	0.433849171	7.16	6.19
569H	17.42100477	2.194119766	7.94038716	499.456719	14.24019056	107.2858429	20.85213256	21.0141236	169.2868083	3.174118172	1.397618782	1.876466866	0.108027704	0.03466062	6.807297228	0.002560596	52.63300865	841.4615036	105.9054877	0.347	2.2225	7.261764706	3217.442934	4083.9954	3133.791974	430.1800622	804.0810859	16897.15136	17.51094278	50.07104715	18700.79562	0.437369492	7.2	6.2
570H	17.20102072	2.201121226	7.815725955	511.3925746	14.36525868	104.7954983	21.40940718	22.28050389	172.1974722	3.626342811	1.645014132	1.992677139	0.109344962	0.036412969	8.123427082	0.002604959	54.71138194	838.8225385	106.4660796	0.406	2.377	7.235353535	3148.147595	4071.781301	3014.272839	415.5500554	629.3890769	16437.48125	16.55726647	47.57933542	18351.61467	0.401607736	7.08	6.14
577H	17.92299449	2.268681899	7.901608299	511.0563533	14.6049726	101.3055546	18.48528813	14.0978209	145.4181663	2.553716454	1.455276129	2.209591951	0.100679669	0.033127394	5.675257577	0.001663916	55.81365182	837.5371868	106.6491614	0.605	2.792	7.838834951	3542.32	4444.569251	3427.163357	472.9299615	798.0835119	18168.58953	17.78064424	53.64936219	20518.35394	0.487312211	6.92	5.86
578H	16.93042457	2.115512937	8.0045888	490.7149656	15.1260898	106.6636443	17.22779623	11.55417145	156.0835317	2.256004088	1.35052147	2.615997615	0.109785196	0.042210489	9.963073966	0.001380991	51.13252721	830.6477454	118.2197273	0.466	2.671	7.964705882	3625.642954	4390.001431	3255.499748	473.029784	693.1108622	18672.19688	18.71045247	52.91861477	20476.85617	0.436975862	6.91	5.87
579H	18.07905316	2.307295799	7.839558221	541.316269	15.14693448	109.1393381	24.56613212	28.78472757	187.4600959	4.077336214	1.177038997	3.27176322	0.115706702	0.04259043	10.16951093	0.003406032	55.45771266	836.4972857	108.0450017	0.381	2.574	7.786868687	3626.321043	4707.253009	3413.714036	491.4411819	608.2193777	18282.8654	18.32458766	52.67225918	20842.59113	0.481511887	7.29	6.23
580H	17.28251874	2.268654406	7.618989117	536.2729497	14.85510885	103.6040106	18.79660369	17.45876237	159.1759442	2.407787073	1.11595158	2.214037124	0.094834812	0.027325026	6.860319009	0.001811407	49.28878392	840.600636	110.1105801	0.5175	2.6495	7.832653061	3513.671504	4561.972919	3320.299553	468.1643546	688.5636055	18058.30953	17.32766246	51.97370383	20494.11839	0.448120413	7.1	6.1
581H	17.56071806	2.188409567	8.024406608	515.42723	14.52159384	101.6741618	21.43181116	18.90613777	155.4158795	3.506407843	1.342721343	5.647840884	0.113729034	0.056467758	7.786461292	0.002964476	54.22783816	837.5985817	108.1735802	0.367	2.5045	7.75	3584.739638	4582.249257	3384.767607	483.1334508	630.9715041	18163.33141	18.0459241	52.89996678	20688.92895	0.439212687	7.06	6.02
582H	18.14008117	2.344132736	7.738330012	556.4462268	15.19904621	101.8571247	21.56617397	21.08102491	177.8585781	3.501637004	1.075014592	5.226424082	0.113283172	0.047210362	10.513347	0.003126593	53.46628897	837.4921668	109.0415442	0.4065	2.577	7.806862745	3753.835059	4777.882236	3335.852445	506.2418673	662.8697294	19238.53155	18.7799576	56.16438491	21526.95501	0.4454721	7.17	6.13
583H	21.80454612	2.822380662	7.725270372	524.841426	20.31641712	94.05810521	18.55139947	8.080690712	163.2597377	2.407550271	1.391481544	3.118715876	0.119535166	0.033903266	10.50066354	0.000964849	24.84383656	828.9650469	146.1911165	0.383	3.222	9.823762376	5146.0454	6017.598018	3722.330156	563.1440205	651.4319738	25158.69965	26.50315274	71.34249048	29797.34129	0.529537769	6.63	5.67
584H	21.79895997	2.723567337	8.004353168	571.2399633	20.38937353	99.42419091	20.21483417	10.65931723	151.8098451	2.41832487	1.069262175	4.606309826	0.105054935	0.056296234	10.12059205	0.001856417	24.50667931	831.5998672	143.8934535	0.389	3.1515	9.857575758	4991.076848	6084.795878	3648.491183	562.3196191	631.7126426	24487.27321	24.92053352	68.833853	29155.08299	0.525865111	6.97	5.97
585H	22.51927137	2.82662347	7.966849904	603.5172067	20.70204385	93.42452181	23.91580864	12.40286218	190.072661	2.969998593	1.0188606	2.054151866	0.119481004	0.029837905	10.78230181	0.002687679	23.54808332	831.2762233	145.1756934	0.3575	2.9675	10.64411765	5041.378906	6253.148509	3818.86467	584.2884848	623.4441073	24349.54326	25.42312331	70.97502919	29539.83319	0.552412945	7.12	6.1
586H	22.44187355	2.792803198	8.040135379	557.1186694	20.94175776	98.99395573	23.24795525	10.59436109	188.4122834	2.854240532	0.954078501	1.622223849	0.109082628	0.030122109	11.63708044	0.002138696	25.95932062	828.4935588	145.5471206	0.399	3.196	10.88383838	4726.955124	5962.44232	3453.640563	551.1763393	577.1234096	23001.84611	23.71663594	66.13000027	27564.63346	0.454546596	7.13	6.09
587H	22.71042824	2.882638425	7.880566746	586.3699212	20.72288853	99.64939016	23.69073903	11.44882401	191.474618	2.475579724	1.095550233	1.543302864	0.104786879	0.027735377	10.6330041	0.002075708	26.24580446	830.1388218	143.6153737	0.357	3.0735	11.03960396	4943.527148	6117.463301	3760.688038	571.442314	616.0542093	23635.24263	23.91070692	69.55016897	28674.64505	0.512758874	7.14	6.12
588H	22.88598061	2.915880829	7.852206013	620.8326029	20.61866509	95.93699253	26.62870456	14.73169356	202.054547	2.943559743	1.047454708	2.566551031	0.135215417	0.044563002	17.61881556	0.002861918	23.87761704	830.9887808	145.1336022	0.361	3.173	9.931313131	5219.087001	6574.942859	3906.403457	594.6397281	638.6959796	25382.45908	25.97299885	73.00168299	30626.44663	0.56139909	7.15	6.16
