Sample_ID	PE.34.3	PE.36.6	PE.36.5	PE.36.4	PC.34.3	PC.34.2	MGDG.34.3	PC.36.6	PC.36.4	MGDG.36.6	MGDG.36.5	MGDG.36.4	DGDG.34.3	DGDG.34.2	DGDG.36.6	DGDG.36.4	DAG.34.2	DAG.36.5	DAG.36.4	PE.36.2	PC.34.1	MGDG.34.2	PC.36.2	MGDG.36.3_1	MGDG.36.2	DGDG.32.0	DGDG.34.1	DGDG.34.0	DGDG.36.2	DGDG.36.1	TAG.48.1	TAG.48.0	TAG.50.3	TAG.50.2	TAG.50.1	TAG.50.0	TAG.52.5	TAG.52.4	TAG.52.3	TAG.52.2	TAG.52.1	TAG.52.0	TAG.54.9	TAG.54.8	TAG.54.6	TAG.54.5	TAG.54.4	TAG.54.3	TAG.54.2	TAG.56.7	TAG.56.6	TAG.56.5	TAG.56.3	TAG.56.2	TAG.58.4	TAG.58.3	TAG.60.5	TAG.60.4	TAG.54.0	TAG.56.0	TAG.58.2	PS.38.2	PS.38.1	PS.38.0	PS.40.2	PS.40.1	PS.42.3	SQDG.32.0	SQDG.34.3	SQDG.34.2	SQDG.36.4
RT_17H	24.13320243	19.6629642	25.00624526	28.56456377	27.33244801	30.91883258	22.80692146	24.52252981	31.09270045	27.58262026	24.85281446	25.57253648	25.9383154	28.95393638	27.72598444	27.6931198	22.74330335	18.77041529	23.0819349	23.09240294	26.57542476	26.23899709	26.4504184	22.14697351	21.50095719	22.82268139	24.74919183	26.95960428	24.94503083	19.30977164	25.01478194	22.76833579	23.13364709	26.67303556	23.60964047	21.31769701	27.08131569	29.67134918	25.50445824	25.31699961	24.25349666	23.26785196	19.94962378	25.08942074	30.56637962	27.32388599	26.57542476	25.81421162	26.35447431	19.93884747	23.02319732	23.50445824	23.48000519	24.57542476	21.49892588	20.26099405	20.07010129	23.33756093	25.81909384	24.35110746	22.38369282	25.19835511	27.8915705	24.55800771	25.56964241	24.26069217	20.61765139	21.06649406	23.68645607	23.94055735	23.296141
RT_18H	24.26069217	20.83151508	25.63200829	28.83545042	27.77705862	31.02828372	23.18566293	25.21326682	31.40831477	27.89735285	25.38442753	26.23352196	26.58978005	29.19366341	28.31958585	28.34095951	23.33756093	19.91826579	23.71816493	23.85756799	26.65948902	26.63200829	26.90884849	22.52346887	22.08088469	23.32388599	25.36452798	19.19669877	25.6676322	20.55059189	27.24445152	25.2570989	23.79946503	27.28912057	25.40080336	22.89431672	27.41538435	29.93999719	25.92705309	26.13711748	25.19084106	24.1870693	21.13678477	25.84565467	30.93999719	27.58978005	27.11147766	26.64581409	27.22618932	21.00807102	23.60964047	23.97596269	24.30312743	25.37119171	21.93755665	21.14900268	20.38925258	23.72858155	26.67303556	25.20955332	23.07785493	25.79203483	28.0964755	24.55215498	25.7568454	24.54627841	20.63534686	21.30004723	24.23899709	24.65948902	24.07724602
RT_19H	24.20955332	19.23366344	25.19835511	28.82031182	27.19835511	31.0150479	23.3778248	24.34435009	31.413368	28.18895641	25.81665479	26.95393638	26.23717436	29.23763026	27.97048756	28.3786518	23.26785196	24.94785106	23.57542476	24.01903141	27.16038726	26.85043181	26.986851	24.14102193	23.02329159	24.1870693	25.94279582	20.60034143	26.38935983	21.78573801	29.29789078	27.85043181	25.83845916	28.71620341	27.43141446	24.22435032	27.6180691	29.93999719	27.16038726	27.01903141	24.84326015	22.84523237	20.60279173	25.71554898	30.9608558	28.78331761	27.77705862	26.53889888	26.12534031	23.33756093	23.26785196	24.26069217	23.39100019	24.75429872	21.98491809	21.3915782	21.37589946	24.1718829	25.90196211	24.296141	23.31008019	25.24988541	28.13124091	25.19460298	26.29789078	24.86230591	20.0503336	21.40262739	24.17949608	25.24988541	24.92705309
RT_20H	23.92252343	17.96430375	24.68110284	28.50521576	26.86230591	30.6628876	22.69265775	23.3778248	31.11147766	27.77705862	25.44884426	26.69975289	25.83364215	29.07622681	27.42342167	28.16997331	22.77045773	17.273954	23.01145284	23.60964047	26.87408307	26.17569451	26.69975289	23.87642702	22.61060124	23.69710332	25.67572966	20.1898488	26.19835511	21.49645729	29.33031226	27.80193329	25.80931282	28.60399391	27.407302	24.28912057	26.88576488	29.32603126	26.51352232	26.88576488	24.64306348	22.81305289	18.47367951	24.54627841	30.44332122	28.11644391	27.09143991	26.40080336	25.99550288	23.55215498	23.78954956	24.41054037	23.84804521	24.82880899	22.71903938	22.42309372	20.40812238	23.57542476	25.7720318	23.92252343	23.11578569	24.85756799	27.86230591	24.78456616	26.06291111	24.54627841	18.85421324	21.19802639	23.88576488	24.66492291	24.45513053
RT_21H	24.03590523	18.76281744	24.9179795	28.57181351	27.18895641	30.80039112	22.95424549	24.06907209	31.25912121	27.95947457	25.75174753	26.89735285	26.00624526	29.05568988	27.69975289	28.22158742	23.11664395	17.7302999	23.50445824	24.11743511	27.31527286	26.4169954	27.15073709	24.27497639	23.06547974	23.84804521	25.77705862	20.60984911	26.44253049	22.05500484	29.43738012	27.90311212	26.28383274	28.84744795	27.47846303	24.24626509	27.43936321	29.83845916	27.48615742	27.44726841	25.09748051	22.77196986	19.9160242	25.30312743	30.93999719	28.94837686	28.01371761	27.10149357	26.44726841	23.67572966	22.89602404	24.27497639	23.89504269	25.4137715	21.66414668	22.03041524	21.01046767	23.81909384	25.72077614	24.16422933	23.5869204	25.03170524	27.9922645	25.12534031	26.41054037	24.89504269	19.28125315	21.13543343	24.59263405	25.10948636	24.70767256
RT_22H	24.20209751	19.31175075	25.01051991	28.55362039	26.99765776	30.7691965	22.52462756	23.95836863	31.06085159	28.17474255	25.58978005	26.39100019	25.99980943	28.95947457	27.67303556	27.80193329	23.01121156	19.24541785	23.55215498	24.55800771	26.986851	25.91113667	27.63200829	23.52850371	22.96579335	23.84804521	25.83364215	20.52641528	26.51201559	22.20326525	29.02432571	27.32388599	26.31527286	28.47846303	27.22618932	23.83845916	27.39917412	29.73246847	26.986851	27.29789078	25.16422933	23.00339713	21.00159099	25.58405506	30.86820651	28.51653107	27.97596269	27.02960065	26.72598444	23.23589371	22.70907824	23.87642702	24.15653493	25.19460298	21.70534953	21.88585349	21.15718408	24.01051991	25.91570216	24.14102193	23.3778248	25.04843233	27.8799358	24.88576488	25.99765776	25.407302	18.80400847	20.49716653	24.60399391	24.99765776	24.40405634
RT_25H	23.46762147	19.10853579	25.01478194	28.5202832	27.32388599	31.14223991	24.30312743	24.28912057	31.46295003	28.46295003	26.32388599	27.69975289	27.27141857	29.26695892	28.39917412	28.89735285	23.5869204	17.70693984	24.01051991	23.72858155	27.17949608	27.31527286	27.3661968	24.01903141	24.79451582	23.40405634	25.6180691	20.97081915	27.63200829	21.66629345	24.11743511	22.75711386	23.83845916	27.06085159	23.96719248	21.00764395	28.09143991	30.31958585	26.85043181	26.29438909	23.16676026	21.9400309	22.65721169	27.06085159	31.58441354	29.08131569	28.2030316	25.73117399	25.27852546	22.20888298	24.52850371	25.48615742	22.72869104	23.36452798	22.09692406	20.33599587	21.15299251	23.68645607	25.08537391	23.96719248	22.18411563	25.4137715	28.25799806	25.01903141	25.9179795	25.14491585	21.48051993	21.25140295	25.87408307	26.00410317	25.06496769
RT_27H	23.93156857	19.23578111	25.0567237	28.39100019	27.02960065	30.51088451	24.296141	24.16422933	31.09898672	28.306608	26.42822265	27.73892349	27.21697079	29.45904558	28.09143991	28.94558904	23.52850371	18.47142096	23.87642702	24.33756093	26.15073709	27.39917412	27.19835511	23.69710332	24.61526502	23.86702832	25.90426122	21.5286227	27.6389277	21.83723697	26.43300771	24.80439733	24.95393638	27.90311212	26.06085159	21.94513259	28.07622681	30.1723599	27.56819319	27.64581409	25.21697079	22.80115279	22.06558739	26.6180691	31.2018639	28.58262026	28.56456377	27.09143991	26.54921969	22.17688715	23.82880899	24.4169954	23.59832516	24.50445824	22.37274871	21.86367794	21.43493003	23.84804521	25.96939003	24.73892349	23.39100019	24.99334477	27.85043181	24.05258397	25.33073966	24.89041124	20.21734409	20.9299395	25.69710332	26.18895641	25.15653493
RT_31H	23.94949048	19.48734429	24.87642702	28.43141446	27.06085159	30.72110221	22.33693622	23.77956548	31.00838417	27.83243538	25.47382662	25.97158425	26.24626509	29.10649425	27.6389277	27.75174753	22.70512042	18.49771336	23.12833249	23.93156857	25.39754303	25.73117399	27.01903141	20.82902509	22.01450461	23.55215498	24.94949048	19.52275277	26.01051991	20.53021809	27.98141712	26.21697079	24.66492291	27.99765776	27.18895641	23.64306348	27.16038726	29.88285328	25.63200829	27.47846303	25.32388599	23.96719248	20.01220495	25.23899709	30.83092549	26.97596269	27.17949608	25.96499157	26.44411152	20.23252527	23.03940873	23.57542476	23.4169954	24.70767256	21.15299777	20.7003702	19.89509848	23.5869204	26.52551985	24.8239596	23.73892349	25.03170524	27.86820651	23.68645607	24.38442753	24.98032788	19.19821106	20.71712423	24.01051991	24.89504269	23.94949048
RT_32H	23.78954956	17.80831359	24.54037781	28.47846303	26.57398134	30.83092549	23.01337345	23.39100019	31.04791253	27.83243538	25.49838372	26.03590523	26.04843233	29.10399608	27.73246847	27.89735285	22.34246374	18.1228846	22.75929443	23.49228352	25.36452798	25.82152877	26.75174753	20.75362923	21.60998163	23.26785196	24.99334477	18.4285415	25.60681996	20.34222391	27.18895641	25.9627873	22.67050325	27.62505553	26.82638633	23.68645607	27.27141857	30.1723599	25.48615742	27.12139313	25.24626509	23.88576488	19.53014225	25.23534932	31.2134986	27.27141857	27.34942108	25.87642702	26.41054037	20.58671657	23.50445824	23.88576488	23.03565827	24.25349666	21.65138416	19.80052157	19.97049563	23.76951181	26.14491585	24.56383678	22.88342591	24.54037781	27.90884849	23.50445824	24.36452798	24.67572966	19.52568807	20.34072507	23.36452798	24.28912057	23.20209901
