Sample_ID	Li	Mg	Al	P	S	K	Ca	V	Mn	Fe	Co	Ni	Cu	Zn	As	Rb	Mo	Cd	Cs	Pb
RT_1H	3.013690097	1821.638918	2156.174482	739.139885	1940.29743	15002.72833	5080.150317	4.999748605	104.3932788	3013.289568	1.288485687	20.07471268	39.38637981	38.77703023	1.954337525	4.120151974	0.502183006	0.425228671	0.714864773	5.094953652
RT_2H	2.26346285	2278.552112	1503.09823	875.8251811	2196.148225	15525.98447	8459.689254	3.946920236	79.04552014	2258.838677	0.988935586	8.002799152	62.86238188	59.77279285	1.439715569	3.479379792	0.291878928	0.5437319	0.267144269	4.935901747
RT_3H	2.571432384	2877.207921	1935.526693	803.2442065	3074.016597	16401.49758	11938.28021	4.715776135	170.7324234	2878.401655	1.298883942	14.6233692	82.885401	60.82150897	1.845964609	4.149747519	0.257253603	0.579057748	0.514176026	8.94832399
RT_4H	2.537578525	1229.434849	1609.186471	902.5925713	1423.758263	16703.09227	3245.924812	4.677921927	98.56997332	2384.95241	1.003690221	5.982845045	38.56866116	28.05094235	1.703360887	3.721992216	0.177919857	0.232662682	0.215448042	4.929114067
RT_5H	2.330573711	2547.836535	1692.376379	1288.869598	2178.581723	23314.98669	10919.14713	4.704527699	91.96662352	2578.55502	0.990239969	13.55432509	80.40989577	59.66789944	1.608497806	3.695703114	0.245932976	0.336251613	0.256782505	7.739618525
RT_6H	2.956271769	1956.875925	2326.010385	990.4895615	1795.880703	16806.11403	5758.917275	6.465076861	119.0068283	3373.304136	1.394685435	10.30979944	63.02320643	32.94954014	2.126222466	4.200976166	0.173690951	0.466061218	0.265015758	6.649561185
RT_7H	7.157083582	2146.506829	5260.688629	430.2116336	931.9379718	12060.41169	3290.043386	13.46815165	281.857596	7763.219023	3.119572079	14.03553729	24.21751411	30.05500281	4.857493084	4.809175794	0.301004641	0.254619081	0.535829505	11.35915604
RT_8H	4.672119592	2016.317556	3586.795401	525.5018534	1534.743477	15181.18121	3626.184181	9.910903477	183.6919487	5307.384888	2.0538008	10.06411436	29.4259632	33.0426856	3.405660879	4.018077349	0.251024703	0.347393858	0.412088643	8.127332846
RT_9H	3.191861063	1613.026711	2389.536889	644.0316597	1863.85861	20392.10478	3217.652226	6.416771266	102.4743189	3512.743893	1.329455019	6.184400676	33.21131368	24.11869216	2.36036648	3.346771935	0.153897555	0.347367641	0.272075997	4.891397991
RT_10H	3.042348733	1868.176155	2557.759663	652.7619411	2057.984338	19767.36621	4015.754888	7.090347846	129.4164948	3758.135351	1.454953699	7.943841168	42.19532575	32.09725757	2.405104559	3.891221889	0.157499149	0.469350751	0.274857144	5.6958415
RT_11H	3.670439987	1495.184627	2643.872242	653.1942011	1359.087486	17817.30308	3022.626298	7.516512347	125.2392289	3998.950514	1.482918914	7.987178976	27.72237932	24.77369195	2.53613558	3.734387545	0.180434025	0.355744285	0.285843404	6.072896767
RT_12H	5.066007622	2202.483672	3894.471441	577.3040718	1621.424713	18107.14912	5285.028924	10.98433855	202.5435249	5797.220119	2.363975036	11.43095321	51.81399643	36.5936984	3.710905286	4.887583944	0.230675893	0.53862049	0.41725444	9.578156774
RT_13H	3.418961542	2696.583428	2730.344392	1017.047594	3347.172057	23626.82123	8199.062974	7.542254508	158.2117627	4089.161307	1.820076256	22.38777251	47.64504767	38.52378927	2.612296865	4.021691974	0.182407688	0.680457179	0.357304401	6.254999554
RT_14H	3.928533241	2106.336348	3523.713243	977.5929376	4062.950081	28163.21586	5237.819918	9.318331003	178.3576483	5130.561031	2.279961225	69.83715408	61.58723211	49.89428001	3.195711426	4.464360996	0.202678722	0.720635589	0.451721986	6.849909746
RT_15H	3.173036992	1579.362608	2460.422029	696.7840105	2479.096077	18979.37156	4376.287507	6.851336278	135.9448809	3782.460063	1.669575429	9.694533965	43.69816771	30.06226473	2.446047628	3.5098644	0.157793826	0.480248375	0.286197064	5.80263134
RT_16H	4.290294267	1545.420827	3146.863364	592.329898	1176.593171	14884.09072	2980.724791	9.472645298	181.3652531	4910.175799	1.958725967	9.804330484	35.81198571	25.67952193	3.081256876	3.954726715	0.207307611	0.393043392	0.341040946	7.665863855
RT_17H	5.857890501	1888.307341	4333.642712	837.6867828	1345.720511	16538.72971	3958.168533	12.65545755	283.6719274	6624.873059	2.760447002	11.64954539	31.85735754	39.1108222	4.067436343	5.394456732	0.278299716	0.411862265	0.499577031	10.79532184
RT_18H	6.55681111	2489.276924	4934.043287	817.7219474	1338.192534	16762.35897	6968.542733	14.44745996	315.0947268	8342.459675	4.064382065	60.17479032	67.75039057	51.84276571	4.905676917	5.633531969	1.233826669	0.507004314	0.562212221	13.63980391
RT_19H	2.811832971	1727.048272	2971.754184	718.5191887	2120.687917	17992.62825	2533.814627	8.274986484	126.8482646	4361.191432	1.673738448	8.368138329	56.09035444	27.46910537	2.722596466	3.402792513	0.13513025	0.300064621	0.248988375	4.456416655
RT_20H	2.724613977	3045.907581	2026.580752	822.6884767	3428.826549	26596.64923	14535.56478	5.390040226	88.7851796	3240.161666	1.363946494	22.20701251	131.8447826	65.48724372	1.926120957	4.512068627	0.479487812	0.573460611	0.289903554	8.374192535
RT_21H	3.48551155	2575.796484	2638.712269	771.0068385	2463.846738	17991.96582	9523.874906	7.226103598	131.9149423	4042.30137	1.701535838	15.99490714	108.2765958	46.039954	2.485441734	4.250622783	0.381229761	0.492357268	0.337003088	8.033616473
RT_22H	3.543003634	2361.338041	2694.106963	869.8915844	3378.050872	22732.32382	8604.875444	7.772883067	142.9603472	4320.542726	2.090349716	37.52849575	89.54111861	59.03320486	2.615979952	4.203065112	0.8072535	0.579878153	0.402156942	9.944272017
RT_23H	1.914943563	1828.251565	2094.507036	706.7269473	2536.861253	16575.79437	4499.290261	5.440301425	91.66939198	2807.68677	1.153218113	9.483146593	66.2298261	31.29950987	1.802941832	2.800191011	0.169531741	0.422980609	0.19840817	3.894478465
RT_24H	4.7392695	2518.584748	3433.797305	752.9962388	1764.19566	14981.35753	8163.26303	10.24651875	215.6606071	5524.638082	2.636904984	35.88863912	80.79139258	50.71271501	3.354013373	4.474152431	0.740036584	0.373476042	0.394184449	10.17314395
