Sample_ID	Li	Mg	Al	P	S	K	Ca	V	Mn	Fe	Co	Ni	Cu	Zn	As	Rb	Mo	Cd	Cs	Pb
RT_25H	1.845411632	2447.227288	1641.515584	843.6074215	2518.717711	24141.21134	10341.49727	4.187631165	96.41683223	2355.705423	0.970416632	36.297048	77.8818295	52.57186902	1.456057453	2.642312695	0.152811238	0.990033315	0.29077307	5.894656346
RT_26H	1.023019209	1909.835846	1157.015939	546.0254626	2441.974877	20158.03592	4863.328327	2.988744278	88.80745059	1617.805295	0.790672223	6.097525541	52.22915274	33.85584005	1.054406879	1.765018399	0.072171023	0.596978124	0.102694228	3.070092608
RT_27H	1.966963495	1993.532738	1559.983336	520.965299	2402.111922	19494.3137	6969.315485	4.385183253	87.44769232	2362.981166	0.972796846	12.22443465	50.61010291	34.70259179	1.557988904	2.512076105	0.13084202	0.923686897	0.340987063	4.807160279
RT_28H	1.932824207	7260.41024	1955.392566	845.9509342	6397.740175	26385.84377	33520.56317	5.385272121	109.5450983	3706.063748	1.937320889	78.43102857	334.9413902	162.3926981	2.137146918	3.311286203	0.944671561	1.237064198	0.375449385	14.77696579
RT_29H	3.199819672	3709.595347	2513.007159	664.5366961	3534.743747	24963.40733	17976.5216	7.446504334	159.9807898	4642.554866	4.008968892	139.9033166	132.8074874	80.96834899	2.507933854	3.864854841	2.10997505	2.011464787	0.322590833	11.10535011
RT_30H	2.533034886	1720.68094	2009.099087	506.078297	2304.549438	20154.36057	4320.029759	5.490739632	96.65718019	2797.764736	1.220800259	8.727972902	30.95689312	76.52002935	1.808710314	2.876450049	0.14122463	1.613011807	0.214128665	4.211662053
RT_31H	3.188508995	2553.119419	2356.29538	1129.593669	2642.720324	17946.06682	9525.428393	6.487645236	142.0367295	3790.228249	1.810341325	12.09816149	79.14579508	36.50018109	2.411446216	5.654532296	0.264674312	0.39799676	0.393516469	6.827078107
RT_32H	5.473117213	2402.199087	3891.400986	1144.959257	1733.755289	15785.7738	6506.427307	11.84565126	255.9636155	6522.279992	3.354405059	42.25551979	50.09815114	39.77335217	4.026706064	6.396126934	1.418749586	0.309395736	0.45887191	9.402013451
RT_33H	4.065598205	2679.55084	3254.956971	1160.702978	1808.522352	16580.35511	8800.158621	8.815098582	179.6963863	5291.876691	2.366386233	16.23627034	67.84489108	43.04935981	3.296968002	5.291830842	0.360101952	0.292738113	0.345129876	7.464515995
RT_34H	4.08121638	2223.100364	2958.245387	1272.241833	1857.925435	15165.23458	7109.663256	8.913264228	161.621538	4638.494445	1.95294883	11.79987502	57.97167796	33.62202915	3.099990857	6.219928279	0.250375621	0.323949141	0.358923179	7.422481044
RT_35H	3.912560101	3005.151006	2874.569614	1548.486866	2274.580611	18717.9313	11679.85864	8.763699927	161.971714	4695.460171	2.222295868	27.50403444	110.8804248	54.99736303	2.944962686	6.02618008	0.733829592	0.412677634	0.371513048	8.712044985
RT_36H	1.524666	2938.027037	1962.042182	1183.23286	1992.651525	16281.35239	7575.383771	5.84062683	102.4420774	3169.548796	1.276890718	15.18685303	107.2432734	49.50967404	2.057729997	2.445989404	0.122961252	0.204665264	0.165682868	4.366165943
RT_37H	4.697539681	3436.900846	3706.836468	837.7624892	1784.868041	14207.07937	11236.68018	9.173770057	196.8207632	5993.329982	2.623510153	31.90270096	91.64136774	46.50779759	3.734585533	6.923331746	0.568405792	0.330887119	0.453355279	8.355772418
RT_38H	7.753978046	3470.308874	5211.729224	941.3565795	1539.413788	13091.41281	9876.759957	15.17639474	351.4760544	8287.461266	3.371253992	36.13674459	76.0615974	53.67766678	5.183218242	9.505843119	0.494521121	0.403441776	0.725508454	12.55267729
RT_39H	6.600427669	2669.171016	5234.675438	833.2109829	1569.308335	13360.6536	5736.886493	12.44646143	281.7470058	7919.930763	3.200196866	19.4406828	39.70039218	41.67162276	4.932671219	7.491044982	0.32666252	0.190718844	0.599725242	9.261505244
RT_40H	4.938918817	2866.622555	3687.802822	1089.738182	2717.545475	20047.15116	7262.441872	11.81504747	199.4618612	5832.549442	2.392064775	9.74404512	51.72658017	51.78862557	4.104417648	8.153634542	0.281168502	0.36889549	0.431689861	8.493059702
RT_41H	4.090871234	2065.973402	3100.52065	872.2289425	1684.644149	18540.43866	4158.447127	9.757152477	187.7500354	5028.776528	2.084048306	9.841143366	30.31846237	31.30540278	3.314078204	6.67831456	0.245232493	0.230223885	0.350833659	6.957703575
RT_42H	4.432054685	2258.733846	3496.311154	896.5130217	1618.807145	18898.04874	5349.847691	10.95566745	225.8430984	5607.260668	2.378939051	11.7199916	45.49171494	32.38691763	3.585805837	6.262772885	0.252912741	0.222279117	0.371561582	7.831029682
RT_43H	3.252938444	2019.666272	2549.914196	881.2378441	1724.558951	11662.20005	6091.679012	7.339399204	137.6805435	4061.384923	1.775550705	10.08491584	60.72744573	26.83872515	2.629776767	4.794191832	0.221046979	0.281438831	0.274053514	5.506085662
RT_44H	6.696352315	2183.983446	5028.600542	865.8418487	1327.246005	11575.89571	3466.466438	14.17423491	274.7522875	7809.370414	3.278959293	13.69595618	45.65903327	26.03722847	4.885674608	7.035352125	0.302781487	0.279604511	0.528694323	9.380961913
RT_45H	5.701203166	2346.433552	4333.221817	800.3189245	1903.66136	11576.08243	5428.722067	11.45611549	238.9444479	6699.765776	2.93118205	13.9720978	49.99758612	28.36974631	4.161637196	6.346092817	0.277315228	0.346428501	0.466835666	9.005371952
RT_46H	2.397635545	2876.292692	2561.222886	1122.549884	1730.971655	17274.81479	8112.371113	7.723172718	154.8373978	4180.618174	1.865788672	15.26354962	113.0294493	57.43904009	2.683378541	4.03508735	0.289951032	0.285332563	0.227162657	6.162825309
RT_47H	6.807467677	2487.226995	5361.31013	799.3536449	1229.474083	11645.02555	4505.219589	16.37313355	292.2559281	8606.736668	3.465136673	16.03889116	57.17563402	31.13692118	5.374092069	7.115100313	0.337953293	0.383284616	0.543878142	10.52229399
RT_48H	8.4102395	2682.129251	6417.133286	874.2159588	1233.53655	13511.24455	4183.798287	19.83581893	370.6805346	10146.38803	4.197521643	18.07099537	40.17197649	33.96528544	6.497088577	8.096311538	0.368698251	0.397316771	0.653636844	13.64125345
RT_49H	3.769602284	2220.836928	2979.898339	627.5829135	1195.645249	7840.352029	5336.653462	8.886096822	149.8978212	4832.758843	1.879313477	9.723235442	46.44716606	26.3171628	3.067377856	4.816970781	0.242232241	0.179978534	0.351714226	6.890562173
RT_50H	3.3801127	2350.054596	2170.109433	1119.083328	1934.316784	12946.21049	9398.618447	6.544639386	107.929848	3466.130216	1.446313629	19.23190892	96.49069205	41.87471146	2.288284158	8.558461907	0.288591808	0.38014828	0.423650112	6.60109949
RT_51H	1.904677973	2015.581261	1974.106185	866.3098821	1460.324705	9842.629117	5249.155741	6.236247047	122.1925232	3188.382888	1.316127142	8.189914234	61.6325862	43.78738157	2.157503977	4.242130735	0.117535648	0.153705924	0.199577276	4.644044461
RT_52H	5.505153227	2737.361614	4491.411083	933.7682543	1475.787663	11074.00106	7853.884417	13.36974723	262.0686821	6927.893131	2.826199598	18.48776158	78.47826528	47.98823711	4.437111987	7.091802874	0.303789255	0.281052367	0.534391989	15.67034536
RT_53H	2.768255383	1635.458163	2448.211932	948.5019352	1797.321975	10163.5062	3688.925396	7.730847921	137.4016921	3822.114431	1.542186237	6.17515976	44.48665416	26.28827083	2.608846911	4.898567701	0.186327601	0.198670467	0.25069861	4.895888451
RT_54H	5.381632072	2402.390517	4540.793488	971.92695	1426.432053	8366.331687	4142.881261	13.7604634	273.2862347	6954.199278	2.938168187	16.25931491	37.78422469	31.65624032	4.620031469	7.259259075	0.304706903	0.258615493	0.457766152	9.213992383
RT_55H	1.327416293	1969.745212	1658.069659	855.1585493	2438.393189	21844.10251	3241.920564	5.065010961	99.54726306	2625.899893	1.351711975	4.760403025	28.66164979	22.72587097	1.830790203	3.78642957	0.063784209	0.343700282	0.143634577	1.754730064
RT_56H	3.072525592	2523.27372	2862.395021	751.0136898	2332.082058	18301.78993	5707.736084	8.495178264	143.2902038	4537.583626	1.930486572	8.013524663	29.37259699	23.7664754	3.01893842	4.633317176	0.154827375	0.551838706	0.276093466	4.445617517
RT_57H	3.050222824	2394.858693	2554.087729	961.3673276	2841.228786	23335.01776	6635.52567	7.643217252	139.4862168	4142.532685	1.74875692	10.00708682	61.58604081	34.1304245	2.828922903	5.585531043	0.159167895	0.441498883	0.291583863	5.13125729
RT_58H	6.331484351	2379.999188	4818.134301	725.2433669	1528.302898	15393.79983	4565.76233	14.91467422	281.4169306	7730.685026	3.165933952	14.70820986	31.36180114	29.9759451	4.969730036	6.392583708	0.340647332	0.389565175	0.481355913	11.03358703
RT_59H	2.527283927	1930.827723	1787.665655	835.5411626	1600.389311	17468.81536	7782.565494	5.556079894	110.2578272	2789.027282	1.189245227	6.261052833	45.10310719	29.75476201	1.926235166	5.49726836	0.242923043	0.426330545	0.219675022	5.570820731
RT_60H	1.002166641	1849.887394	1003.586273	839.4155426	1800.23002	18194.32028	5665.338083	3.451147032	110.3068317	1683.411481	1.004064217	4.252188417	51.21627932	26.0553955	1.188473568	2.90405946	0.098714457	0.24698823	0.097011844	3.003105706
RT_61H	1.886241018	2130.009977	1597.954673	1210.010127	1825.45766	16139.36045	7365.031862	5.049908974	88.43294499	2836.557769	1.35735812	6.549138774	64.87781616	42.31779616	1.469761218	4.231354896	0.092544085	0.328771953	0.176468131	4.626506463
RT_62H	2.940364231	2312.445927	2358.548584	1287.8133	1861.774941	19504.25369	7148.369981	7.453247224	132.4057251	4119.635731	1.853219092	8.104827997	50.75266421	37.96403485	2.091848466	5.306331086	0.113545088	0.352696026	0.242764456	6.207888195
RT_63H	1.69131499	2453.90715	1463.753268	1374.15835	2678.010935	20684.85901	7994.557473	4.796094938	81.78101645	2662.48243	1.439112305	9.646326435	59.70112204	40.13933389	1.308777067	5.984866491	0.211991514	0.410419143	0.182582745	4.058167436
RT_64H	2.303551267	1902.676777	2395.638054	1128.558244	2788.576978	26562.40077	3776.073148	7.839915949	112.6053968	4226.385469	2.019144094	10.84575919	30.49337647	41.0236863	2.098006823	5.132653622	0.069829865	0.466539927	0.19986618	3.842251581
RT_65H	2.203862803	2418.990312	2091.755282	1287.509017	2455.377683	24323.44296	6587.877821	6.922279011	125.5918684	3729.894178	1.865700939	10.31424073	58.37988279	43.13632104	1.925265604	4.762181775	0.131313373	0.472412254	0.202268531	4.986762582
RT_66H	2.386958504	1813.717852	1833.698423	1081.166892	2654.065691	22433.85605	4730.894662	6.058375598	94.75606366	3195.869007	1.662912786	8.611251583	30.58657381	31.03044984	1.647177024	6.613588296	0.07403062	0.548435502	0.222362015	4.64139594
RT_67H	4.021789174	2430.203496	4061.82508	815.8423601	1728.711174	17944.4745	5258.314005	13.73671882	212.0542319	7299.329612	3.070298225	12.94923109	52.00347087	48.74604481	3.672108882	5.560619162	0.141091787	0.36927358	0.348748437	8.292277498
RT_68H	5.128721327	1887.854075	4222.18201	890.081913	1288.662281	16716.63935	2795.659503	14.05467162	304.3130028	7605.957464	3.831054478	12.31921962	19.10105506	38.95718256	3.821017217	6.381601221	0.161637786	0.329477298	0.407512316	9.590988376
RT_69H	3.400208838	2041.036373	3624.758395	760.6390672	1473.481367	17429.45529	2664.121517	12.23970006	246.0356661	6576.318705	3.306376859	13.94916439	23.11328627	36.63285105	3.281167852	4.355188437	0.105723572	0.315407652	0.287186802	6.623630163
RT_70H	3.693283379	2356.970722	3862.611776	779.4985932	1890.301768	18192.61174	3558.994274	13.49481952	309.6984583	6843.691976	4.254859252	13.27605028	35.42470409	42.91081862	3.806840761	5.006743279	0.129039387	0.477812946	0.32633139	7.077736325
RT_71H	3.83919243	2040.221179	3451.000649	846.5193262	1534.219165	19704.99421	3825.774069	11.53377876	169.0833961	6027.191116	2.517997213	11.14441323	34.0573136	51.47323439	3.175596797	5.319219517	0.138042836	0.377209035	0.315733326	7.218533238
RT_72H	3.387883602	2100.132256	3122.826462	799.773353	1588.307631	18607.83515	4651.718919	10.62271497	216.9562525	5549.178698	2.742971008	18.29636867	44.17022186	54.45509593	2.922990429	4.668699319	0.308590846	0.37260944	0.299312141	7.60571264
RT_73H	4.684652019	2400.156932	5142.479606	956.3382692	1254.989176	13122.89515	4075.254107	16.31564612	253.6107968	8942.321057	3.884182088	29.20837864	46.39213374	47.7790501	4.445093664	5.396369137	0.161608609	0.275610926	0.384311974	8.885007379
RT_74H	4.249176384	2266.841718	4937.148662	1019.758886	1294.631063	15786.26219	3492.739931	15.50691397	287.5735716	8486.931427	3.896599257	18.76490683	45.29115611	46.60930297	4.200980043	4.99858608	0.140890589	0.329258689	0.336468065	7.802092014
RT_75H	4.883489442	2656.263134	4125.610356	1033.780346	2465.23043	20804.58371	7400.049558	13.47715481	200.1567531	7483.959314	3.552286901	21.06251534	69.08604412	56.91480014	3.7319048	6.635478792	0.181522715	0.713736765	0.402098308	9.781781343
RT_76H	2.771677405	2195.173896	3947.751884	1150.850349	1693.239726	20876.99322	2857.754364	13.36553137	204.3754198	7098.016219	3.164227285	16.09362879	44.1271221	40.00261621	3.620338673	3.936944085	0.074496032	0.292804847	0.258406448	5.096313524
RT_77H	4.259186093	1960.969255	3478.728192	1238.631326	1639.463432	21684.36209	4276.214887	11.69645873	188.9031571	6349.239125	2.891015895	13.81741897	35.08811473	54.09385673	3.156777206	6.374738011	0.161537306	0.426819909	0.333092673	9.143088543
RT_78H	4.854259502	2248.702301	3634.79179	1018.958657	2486.997591	20053.4025	6602.70819	13.37039909	511.6536426	6760.116692	4.993713291	21.38881411	51.32204248	61.0559889	3.372735801	6.644484255	0.267622274	0.825667237	0.390169953	13.40743173
RT_79H	4.093743543	2009.157231	3946.913312	941.6924536	1201.318175	11517.7899	2918.833996	12.15677713	204.4816405	6677.636954	2.894769856	11.65250106	25.10664184	36.14006209	3.173795787	5.061191312	0.149657116	0.185486903	0.354464751	7.589543104
RT_80H	4.10610958	2274.743527	3664.890015	1023.020084	1348.780143	15690.08857	4869.403275	11.82542347	228.7526375	6433.475884	3.034924971	18.2161646	58.24192184	49.05077705	3.203521069	5.10155287	0.205721647	0.273022347	0.360465428	9.567586535
RT_81H	2.691318157	2512.572096	2685.297173	1101.791826	1666.964608	20829.09706	6623.830204	8.63323577	131.2214827	4722.066375	2.15574097	13.60073612	81.90314556	58.53863663	2.394623339	4.757665157	0.159302312	0.323286471	0.261097176	7.03879792
RT_82H	2.657385703	2620.701406	1905.45812	1202.978038	2034.362254	10817.91013	9405.393609	6.317167541	91.03619263	3280.643978	1.419682752	7.825611395	81.86589008	56.77450463	1.708752022	3.847654148	0.22955553	0.471085471	0.240941254	6.473176149
RT_83H	3.224039384	2741.264288	2962.560752	1336.957674	1849.628362	14716.19113	5883.379635	9.582347751	148.7993638	5119.252919	2.296687264	11.89168012	112.8032446	66.18970904	2.569343546	4.017534972	0.211377987	0.287499951	0.276869789	7.649335995
RT_84H	6.417891277	2351.567509	4496.964494	763.5853282	1142.30842	9086.742688	5218.118044	15.45289877	241.6194425	8025.797094	3.351255899	13.52212263	40.80967906	51.23210587	4.014376161	7.168133602	0.258637668	0.378828199	0.556607509	12.66768235
RT_85H	1.555129321	2192.696164	1412.432792	424.2402199	2035.853823	15924.19572	7224.953281	4.423211173	73.20362471	2419.650674	1.257470434	8.516398208	39.0011372	56.09172769	1.283991637	3.623673175	0.08352394	1.25240805	0.141549361	4.46909085
RT_86H	2.267943152	2739.050755	2042.613832	737.1792165	2212.485216	17651.713	9027.754521	6.628387256	107.3027283	3713.832649	1.693804652	11.34793671	58.03689382	52.88222818	1.880075117	5.684522664	0.103649845	0.895272023	0.238022241	6.356409646
RT_88H	1.604110892	2426.609823	1582.772442	580.0594758	2581.35467	13351.64612	6765.262771	4.892043259	86.82554176	2645.598079	1.536011038	12.65557082	28.52693056	47.0112134	1.333710293	4.24448834	0.077184192	1.288023832	0.169563956	3.45830354
RT_89H	1.67124497	2497.985382	1298.348785	626.090156	2776.963547	17721.51293	8189.416267	4.023002234	69.69773401	2171.699844	1.130912856	8.818888572	16.99340514	28.91521955	1.203485647	4.893768709	0.0917479	0.832119033	0.158539119	3.074616505
RT_90H	2.162190681	2058.602885	1983.266933	787.0480631	2074.804108	16950.98364	5374.66184	6.126628872	109.897656	3404.543862	1.623954012	17.72480004	31.86036563	40.99430016	1.726755853	4.286476803	0.100595198	0.595100572	0.271137423	4.3851783
RT_91H	1.708351441	1958.612491	1421.90304	977.0949665	1814.6304	15978.54541	4759.089525	4.338263698	90.88654449	2565.847406	1.245132155	15.70121649	44.92226576	31.29367185	1.358661574	4.035446116	0.066483667	0.704382445	0.343307937	3.659664701
RT_92H	1.603224379	2557.696054	1083.351145	1062.585333	2428.944466	16133.04981	10758.18235	3.313093369	88.87400162	1901.396109	0.974895569	17.41579814	79.89641449	52.40759524	1.016519461	4.199816955	0.094622575	1.168812436	0.246582198	6.17106155
RT_93H	1.178688794	2177.749128	1132.209676	1120.638246	2231.421174	21622.22127	4958.181738	3.441778025	82.37281903	1986.038403	1.05462631	12.78512455	69.39660107	37.66596355	1.052717692	3.727233198	0.04957772	0.770521313	0.163254652	2.677400322
RT_94H	1.079866007	1816.551784	1067.646235	749.9097003	1770.945825	17765.97706	4434.955713	3.396274591	77.51801938	1906.141055	1.014889395	11.22027976	42.00432981	36.76554501	1.052660202	2.490849236	0.063112462	0.832773662	0.148520932	2.90222382
RT_95H	0.741499671	2071.557557	989.3880569	882.7111846	1929.868259	18606.6703	3263.367101	3.087748258	69.12993282	1744.814547	0.907729217	10.38640657	66.88442398	36.39163598	0.941225265	2.301770741	0.028704924	0.484187012	0.081842433	1.732017691
RT_96H	1.449705902	2229.621626	1554.808623	725.5771221	1820.805193	13453.05203	4199.109329	5.05150845	108.567465	2813.911181	1.388901354	12.42618699	169.6122975	98.84631981	1.532750576	2.603682917	0.077736223	0.557154488	0.136753401	7.828971842
RT_97H	4.284648622	2784.589212	4302.374986	819.3156369	1972.399733	17025.16142	4817.166041	13.40485618	283.2955067	7900.644983	3.410266578	14.90642634	49.68707239	45.77765667	3.869299457	5.715467066	0.13301213	0.359370621	0.359971782	7.718768377
RT_98H	3.179768857	2761.395099	2794.21742	798.3413063	1840.962986	17120.91085	6692.005737	8.91641539	193.0258084	5139.198266	2.38231808	12.69618929	43.67374964	41.71461495	2.689167286	5.35755453	0.116795061	0.561029112	0.287879807	6.981526248
RT_99H	4.388997896	2585.548027	4094.751368	806.1982041	1777.451783	16334.01534	4320.688656	13.20078359	277.1960901	7576.053156	3.515900277	16.35292746	37.57738673	46.88622086	3.841245759	6.659276674	0.18605779	0.609740411	0.397757281	8.405030735
RT_100H	4.351878139	2975.990192	3739.769598	847.8076449	1865.802703	16701.60464	5742.587483	11.87280582	234.9281189	6637.870462	2.919727179	14.73770414	44.69737864	43.30726446	3.367746046	7.048636861	0.162065702	0.768135457	0.387869697	8.300796415
RT_101H	5.690099126	3283.577657	4386.4947	864.9941452	1948.57891	14505.06954	8478.697737	13.91782208	307.396003	7946.175288	3.616612765	18.97331835	58.28282367	67.62595486	4.201940098	7.339136322	0.224237946	0.837924771	0.492507857	11.24159888
RT_102H	4.787495005	2365.219985	4841.152346	905.7366298	1210.139162	17612.47345	3402.902216	14.60069002	301.3835184	8427.734561	3.742722269	15.12696886	32.04541626	43.81769647	4.248261279	5.706162786	0.152642599	0.290071088	0.385258397	8.474456267
RT_103H	3.360570767	2467.05353	3160.447646	910.6602294	1949.623212	19887.29545	6161.779187	10.14772795	229.4647144	5884.231105	2.849924853	23.81796387	60.46886213	52.3409827	2.998209042	3.945488238	0.142715965	0.741345371	0.277477411	7.479183005
RT_104H	2.77228447	2825.431136	2805.536666	1362.013648	2699.467612	25068.41568	6966.830252	8.957764346	209.3605057	5111.392299	2.522966156	24.97277813	78.81296186	59.69851578	2.667638534	3.99437078	0.136858137	1.014774999	0.251301254	6.579179174
RT_105H	4.639246063	2706.591466	4663.781604	823.2534206	1688.318603	17019.6441	5287.263525	14.17024647	332.1518355	8129.448989	3.89785674	29.60665196	53.21924435	55.74930082	4.161042805	5.045312236	0.176379893	0.843717784	0.374388304	9.651981636
RT_106H	5.22505374	2912.818168	3989.573962	1445.856045	2039.17057	19867.42737	6372.610056	12.63980525	290.0269155	7224.565047	3.52491773	26.25397564	80.76464874	56.06323726	3.650207018	5.882709158	0.211497023	0.967773197	0.43682957	11.27641862
RT_107H	4.607536532	2450.015614	3692.091695	1169.97429	1681.324689	19187.96937	5557.213445	11.95211528	257.3903738	6778.895009	3.176244344	23.50755091	51.49241111	62.67482688	3.520705788	5.264500695	0.205136484	0.837632802	0.388324332	11.09862704
RT_108H	3.681045839	2621.799243	3392.420465	1191.347351	2031.553732	18938.14475	5735.765584	10.95210677	236.8409142	6148.426538	2.853326014	25.64344251	88.4320398	55.64487339	3.190183156	4.542545483	0.150394456	0.950944778	0.331234029	8.110740686
RT_109H	1.424902186	1674.157368	1223.491667	955.9136581	1531.40992	22080.80381	4102.440208	3.888019552	79.38300989	2207.477398	0.950582686	6.587329357	39.14278014	41.20332594	1.225893275	2.200468918	0.08074847	0.196618087	0.117625419	4.482823606
RT_110H	3.857364887	2300.421826	3634.43129	877.9717206	1515.266683	16993.23441	5312.692948	11.5171184	274.3187036	6594.750672	3.29725278	17.23959651	47.82709208	56.07843651	3.443834399	4.037965075	0.159018698	0.302004246	0.312179287	9.883616051
RT_111H	2.908702529	2314.835617	2136.283056	1169.861505	1711.344978	21454.577	5899.362781	6.709008912	137.2844711	3831.187054	1.655372339	11.5640961	49.74086252	54.90047094	2.054323713	3.449917282	0.164854152	0.343464613	0.245713587	7.854062381
