Sample_ID	dry.weight.cob	dry.weight.plant	dry.weight.shoot	fresh.weight.cob	fresh.weight.shoot	stem.length	total.leaf.number
451H_RT	65.03	188.36	123.33	324.93	444.62	161	13
452H_RT	0	62.12	62.12	0	250.36	70	5
453H_RT	64.06	183.35	119.29	310.04	425.32	171	13
454H_RT	37.66	130.32	92.66	160.81	358.96	133	11
455H_RT	58.26	142	83.74	230.43	311.39	136	11
456H_RT	49.09	189.84	140.75	195.42	539.11	139	12
457H_RT	79.66	128.39	48.73	189.45	209.11	111	6
458H_RT	135.65	230.29	94.64	317.49	327.62	129	8
459H_RT	136.16	199.71	63.55	328.51	266.89	124	7
460H_RT	108.96	194.98	86.02	275.87	317.62	117	9
461H_RT	17.64	38.56	20.92	45.5	71.91	88	5
462H_RT	81.23	117	35.77	189.33	151.4	113	7
463H_RT	56.3	110.36	54.06	178.51	188.23	97	8
464H_RT	157.49	263.58	106.09	577.27	396.8	134	9
465H_RT	33.56	59.25	25.69	140.02	89.08	78	9
466H_RT	94.1	176.77	82.67	265.93	265.99	124	9
467H_RT	80.4	189.48	109.08	274.54	359.86	127	11
468H_RT	72.05	128.6	56.55	278.32	186.71	113	9
469H_RT	77.84	140.85	63.01	244.04	245.31	115	6
470H_RT	98.99	171.33	72.34	294.61	259.25	125	10
471H_RT	89.95	173.66	83.71	231.84	272.86	126	7
472H_RT	100.96	157.78	56.82	283.49	218.23	108	7
473H_RT	62.31	115.92	53.61	160.18	177.3	95	6
474H_RT	48.66	84.98	36.32	137.43	129.25	103	8
475H_RT	3.12	24.59	21.47	22.02	100.14	100	9
476H_RT	0	29.69	29.69	0	179.58	91	10
477H_RT	0	43.71	43.71	0	269.06	103	11
478H_RT	0	20.97	20.97	0	101.45	91	9
479H_RT	2.03	15.08	13.05	13.05	58.55	92	8
480H_RT	0	17.77	17.77	0	79.3	90	9
RT_100H	0	33.56	33.56	0	178.8	41	11
RT_101H	0	45.58	45.58	0	208.3	43.5	11
RT_102H	0	13.77	13.77	0	99.1	32	9
RT_103H	0	14.76	14.76	0	103	22	11
RT_104H	0	7.45	7.45	0	52.2	19	11
RT_105H	0	9.28	9.28	0	73.8	21	13
RT_106H	0	10.28	10.28	0	79.9	22.5	11
RT_107H	0	21.54	21.54	0	128.8	21	14
RT_10H	0	12.7	12.7	0	97.7	35	10
RT_110H	0	40.27	40.27	0	218.7	34	12
