Sample_ID	Glucose	Fructose	Sucrose	Starch
RT_167H	9.9	2.2	13.5	0
RT_168H	11.5	1.6	9.4	0.6
RT_169H	2.1	0.2	7.9	0
RT_170H	28.8	1.2	10.3	0
RT_171H	7.1	0.9	6.1	0
RT_172H	7.5	1.3	6.5	0.1
RT_173H	26.5	2.1	12.8	0
RT_174H	6.9	1.1	7.9	0
RT_175H	2.9	0.3	14.5	0
RT_176H	1.6	0.1	7.7	0.3
RT_177H	2	0	9.3	0.1
RT_178H	3.9	0.4	13.9	0
RT_179H	2.2	0.5	9.7	0
RT_180H	2.5	0.1	8.5	0.8
RT_181H	10.5	0.9	11.6	0.1
RT_182H	23.4	2.5	11.8	0
RT_183H	14	1.6	9.8	0.1
RT_184H	8.1	0.9	7.4	0.3
RT_185H	11.9	3.3	8.9	0.1
RT_186H	11.9	2.1	9.9	0.2
RT_187H	14	2.4	1.2	0
RT_188H	6.2	1.9	1.6	0
RT_189H	16	2	0.8	0
RT_190H	5.1	1.1	0.8	0
RT_191H	11.9	2.9	2	0
RT_192H	17.9	3.5	2.2	0
RT_193H	21.8	4.9	8.4	0
RT_194H	17.8	4.9	3.9	0
RT_195H	14.9	3.4	11.5	0.1
RT_196H	10.4	2.6	7.5	0
RT_197H	17.6	2.9	9.3	0
RT_198H	17.4	2.7	11.9	0
RT_199H	37.7	6.5	1.2	0
RT_200H	40.3	8.3	1.5	0
RT_201H	21.2	4.2	2.3	5.8
RT_202H	13.4	3.6	6	0.4
RT_203H	21.8	6.8	5.4	0.3
RT_204H	21.6	5.7	4.2	3.4
RT_205H	10	2.2	26.4	0
RT_206H	9.2	8.7	13	0
RT_207H	5.1	1.9	14.4	0
RT_208H	10.1	5.1	14.1	0
RT_209H	7.4	0.9	17.2	0.4
RT_210H	5	0.7	19.1	0
RT_211H	34.5	3.2	4.8	1.1
RT_212H	35.8	4.1	2.3	0.5
RT_213H	25	2.5	13.8	0.6
RT_214H	24.5	4	11.3	0.8
RT_215H	30.7	5.2	5.2	1
RT_217H	10.1	1.2	6.5	0.1
RT_218H	9.3	3.5	1.8	0.4
RT_219H	22.3	5.3	10.3	0.5
RT_220H	4.6	0.7	7.2	0.4
RT_221H	11.2	2.8	2.5	0.3
RT_222H	10.7	0.6	8.9	0.6
RT_223H	16.7	1.3	16.6	0.5
RT_224H	22.9	3.8	13.2	0.5
RT_225H	7.3	0.6	15.4	0.9
RT_226H	14.7	2.1	16	0.8
RT_227H	27.6	3.5	11.2	0.7
RT_228H	17.4	1.6	8.8	0.1
RT_229H	14.5	3.9	1.4	0.4
RT_230H	4.3	3.1	2	0.3
RT_231H	21.1	5.7	4.6	0.4
RT_232H	23.5	3	8.9	0
RT_235H	11.6	0.5	29.4	0.5
RT_236H	5.9	1.8	21	0.3
RT_237H	15.9	1.7	15.9	0.6
RT_239H	9.6	0.8	22.4	0.9
RT_240H	7.1	0.1	17.9	0.3
241H_RT	21.8	5.8	7.7	1.6
242H_RT	12.5	3.9	13.2	1.6
243H_RT	21.5	7.7	7.1	30.3
244H_RT	26.6	7.6	4.4	1.4
245H_RT	39.0	7.7	1.7	4.3
246H_RT	17.2	6.1	10.5	1.5
247H_RT	37.5	6.5	2.5	2.1
248H_RT	10.7	2.2	12.1	40.5
249H_RT	31.4	6.3	6.1	1.6
250H_RT	3.4	1.7	2.5	0.6
251H_RT	6.4	2.5	6.3	20.5
252H_RT	8.3	2.6	9.6	1.7
253H_RT	14.0	2.3	7.8	1.5
254H_RT	21.7	4.8	10.2	1.3
255H_RT	32.7	3.5	0.9	1.4
256H_RT	28.7	6.6	5.7	1.3
257H_RT	20.7	4.3	6.6	1.5
258H_RT	18.1	5.8	7.9	1.3
259H_RT	19.9	5.8	8.5	2.3
260H_RT	23.6	4.6	9.6	2.8
261H_RT	7.0	3.0	11.8	2.3
262H_RT	5.4	2.4	5.2	1.8
263H_RT	29.7	5.8	0.6	1.8
264H_RT	19.7	4.0	6.7	0.8
265H_RT	8.7	2.0	17.6	2.0
266H_RT	9.2	1.3	15.3	2.3
267H_RT	13.4	4.9	14.3	2.3
268H_RT	15.7	6.2	11.7	2.9
269H_RT	6.8	1.9	20.5	2.8
270H_RT	12.1	4.5	9.8	2.0
271H_RT	23.6	5.9	5.5	2.2
272H_RT	32.6	6.6	2.9	1.5
273H_RT	39.2	1.8	-0.1	1.1
274H_RT	28.2	6.1	2.6	1.3
275H_RT	38.9	2.6	0.0	1.1
276H_RT	40.2	7.8	1.7	1.4
277H_RT	31.9	5.2	1.0	5.6
278H_RT	4.8	2.4	20.6	1.8
279H_RT	9.1	2.7	3.4	2.0
280H_RT	16.5	3.9	4.6	1.7
281H_RT	32.6	4.5	1.2	1.8
282H_RT	15.8	3.8	3.7	1.3
283H_RT	26.0	4.3	4.4	1.3
284H_RT	23.5	4.0	5.8	1.1
285H_RT	22.0	4.1	5.7	1.3
286H_RT	33.7	3.3	1.0	1.5
287H_RT	27.7	3.8	2.6	1.0
288H_RT	18.0	2.2	8.0	1.7
289H_RT	32.0	5.8	1.5	1.1
290H_RT	20.0	4.1	6.4	1.1
291H_RT	17.9	4.5	8.0	0.6
292H_RT	29.3	6.2	2.6	2.0
293H_RT	31.0	4.3	0.8	1.6
294H_RT	17.9	4.4	6.1	1.4
295H_RT	33.9	4.7	1.5	2.8
296H_RT	17.7	5.6	10.7	2.0
297H_RT	13.7	5.6	14.0	1.8
298H_RT	5.0	2.5	15.9	1.5
299H_RT	17.9	5.7	9.4	1.4
300H_RT	19.5	5.4	10.6	2.3
