Group1	Group2	Significance	Sig	FDR	Sig_FDR
NK_Reproductive	NK_Vegetative	3.25547091690378e-05	TRUE	5.4257848615063e-05	TRUE
NPK_Reproductive	NPK_Vegetative	1.13159600134892e-07	TRUE	3.77198667116307e-07	TRUE
CONMIN_Reproductive	CONMIN_Vegetative	3.98330907149772e-24	TRUE	3.98330907149772e-23	TRUE
BIODYN_Reproductive	BIODYN_Vegetative	1.45978744964194e-19	TRUE	7.2989372482097e-19	TRUE
NK	NPK	0.00590679415380578	TRUE	0.00843827736257969	TRUE
NK	CONMIN	3.50207076508632e-07	TRUE	7.00414153017264e-07	TRUE
NK	BIODYN	2.57476522518319e-07	TRUE	6.43691306295797e-07	TRUE
NPK	CONMIN	0.00711312629029996	TRUE	0.00889140786287495	TRUE
NPK	BIODYN	0.0119612852114017	TRUE	0.0132903169015574	TRUE
CONMIN	BIODYN	0.998787740292814	FALSE	0.998787740292814	FALSE
