Sample_ID	Genotype	Compartment	Field	Management	Plot	Position	Location	Stage	Run	Compartment_Stage	Compartment_Genotype	Compartment_Stage_Management	Compartment_Stage_Management_Plot	Compartment_Stage_Management_Genotype	Compartment_Stage_Management_Plot_Genotype
RH_27H	5_pht1;6	Rhizosphere	DEMO	NK	19	NA	A2	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_5_pht1;6	Rhizosphere_Vegetative_NK	Rhizosphere_Vegetative_NK_19	Rhizosphere_Vegetative_NK_5_pht1;6	Rhizosphere_Vegetative_NK_19_5_pht1;6
RH_31H	1_B73	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_1_B73	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_1_B73	Rhizosphere_Vegetative_NPK_23_1_B73
RH_32H	1_B73	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_1_B73	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_1_B73	Rhizosphere_Vegetative_NPK_23_1_B73
RH_33H	1_B73	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_1_B73	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_1_B73	Rhizosphere_Vegetative_NPK_23_1_B73
RH_37H	2_DK105	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_2_DK105	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_2_DK105	Rhizosphere_Vegetative_NPK_23_2_DK105
RH_38H	2_DK105	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_2_DK105	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_2_DK105	Rhizosphere_Vegetative_NPK_23_2_DK105
RH_39H	2_DK105	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_2_DK105	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_2_DK105	Rhizosphere_Vegetative_NPK_23_2_DK105
RH_43H	3_PH207	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_3_PH207	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_3_PH207	Rhizosphere_Vegetative_NPK_23_3_PH207
RH_44H	3_PH207	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_3_PH207	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_3_PH207	Rhizosphere_Vegetative_NPK_23_3_PH207
RH_45H	3_PH207	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_3_PH207	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_3_PH207	Rhizosphere_Vegetative_NPK_23_3_PH207
RT_49H	4_F2	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Root_Vegetative	Root_4_F2	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_4_F2	Root_Vegetative_NPK_23_4_F2
RT_50H	4_F2	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Root_Vegetative	Root_4_F2	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_4_F2	Root_Vegetative_NPK_23_4_F2
RT_51H	4_F2	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Root_Vegetative	Root_4_F2	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_4_F2	Root_Vegetative_NPK_23_4_F2
RT_55H	5_pht1;6	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Root_Vegetative	Root_5_pht1;6	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_5_pht1;6	Root_Vegetative_NPK_23_5_pht1;6
RT_56H	5_pht1;6	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Root_Vegetative	Root_5_pht1;6	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_5_pht1;6	Root_Vegetative_NPK_23_5_pht1;6
RT_57H	5_pht1;6	Root	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Root_Vegetative	Root_5_pht1;6	Root_Vegetative_NPK	Root_Vegetative_NPK_23	Root_Vegetative_NPK_5_pht1;6	Root_Vegetative_NPK_23_5_pht1;6
RT_61H	1_B73	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Root_Vegetative	Root_1_B73	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_1_B73	Root_Vegetative_CONMIN_6_1_B73
RT_62H	1_B73	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Root_Vegetative	Root_1_B73	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_1_B73	Root_Vegetative_CONMIN_6_1_B73
RT_63H	1_B73	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Root_Vegetative	Root_1_B73	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_1_B73	Root_Vegetative_CONMIN_6_1_B73
RT_67H	2_DK105	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Root_Vegetative	Root_2_DK105	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_2_DK105	Root_Vegetative_CONMIN_6_2_DK105
RT_68H	2_DK105	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Root_Vegetative	Root_2_DK105	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_2_DK105	Root_Vegetative_CONMIN_6_2_DK105
RT_69H	2_DK105	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Root_Vegetative	Root_2_DK105	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_2_DK105	Root_Vegetative_CONMIN_6_2_DK105
RH_49H	4_F2	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_4_F2	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_4_F2	Rhizosphere_Vegetative_NPK_23_4_F2
RH_50H	4_F2	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_4_F2	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_4_F2	Rhizosphere_Vegetative_NPK_23_4_F2
RH_51H	4_F2	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_4_F2	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_4_F2	Rhizosphere_Vegetative_NPK_23_4_F2
RH_55H	5_pht1;6	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_5_pht1;6	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_5_pht1;6	Rhizosphere_Vegetative_NPK_23_5_pht1;6
RH_56H	5_pht1;6	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_5_pht1;6	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_5_pht1;6	Rhizosphere_Vegetative_NPK_23_5_pht1;6
RH_57H	5_pht1;6	Rhizosphere	DEMO	NPK	23	NA	A1	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_5_pht1;6	Rhizosphere_Vegetative_NPK	Rhizosphere_Vegetative_NPK_23	Rhizosphere_Vegetative_NPK_5_pht1;6	Rhizosphere_Vegetative_NPK_23_5_pht1;6
RH_61H	1_B73	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_1_B73	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_1_B73	Rhizosphere_Vegetative_CONMIN_6_1_B73
RH_62H	1_B73	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_1_B73	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_1_B73	Rhizosphere_Vegetative_CONMIN_6_1_B73
RH_63H	1_B73	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_1_B73	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_1_B73	Rhizosphere_Vegetative_CONMIN_6_1_B73
RH_67H	2_DK105	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_2_DK105	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_2_DK105	Rhizosphere_Vegetative_CONMIN_6_2_DK105
RH_68H	2_DK105	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_2_DK105	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_2_DK105	Rhizosphere_Vegetative_CONMIN_6_2_DK105
RH_69H	2_DK105	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_2_DK105	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_2_DK105	Rhizosphere_Vegetative_CONMIN_6_2_DK105
RT_73H	3_PH207	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Root_Vegetative	Root_3_PH207	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_3_PH207	Root_Vegetative_CONMIN_6_3_PH207
RT_74H	3_PH207	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Root_Vegetative	Root_3_PH207	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_3_PH207	Root_Vegetative_CONMIN_6_3_PH207
RT_75H	3_PH207	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Root_Vegetative	Root_3_PH207	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_3_PH207	Root_Vegetative_CONMIN_6_3_PH207
RT_79H	4_F2	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Root_Vegetative	Root_4_F2	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_4_F2	Root_Vegetative_CONMIN_6_4_F2
RT_80H	4_F2	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Root_Vegetative	Root_4_F2	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_4_F2	Root_Vegetative_CONMIN_6_4_F2
RT_81H	4_F2	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Root_Vegetative	Root_4_F2	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_4_F2	Root_Vegetative_CONMIN_6_4_F2
RT_85H	5_pht1;6	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Root_Vegetative	Root_5_pht1;6	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_5_pht1;6	Root_Vegetative_CONMIN_6_5_pht1;6
RT_86H	5_pht1;6	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Root_Vegetative	Root_5_pht1;6	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_5_pht1;6	Root_Vegetative_CONMIN_6_5_pht1;6
RT_87H	5_pht1;6	Root	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Root_Vegetative	Root_5_pht1;6	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_6	Root_Vegetative_CONMIN_5_pht1;6	Root_Vegetative_CONMIN_6_5_pht1;6
RT_91H	1_B73	Root	DOK	CONMIN	56	NA	B2	Vegetative	bourceret_2018_001	Root_Vegetative	Root_1_B73	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_56	Root_Vegetative_CONMIN_1_B73	Root_Vegetative_CONMIN_56_1_B73
RT_92H	1_B73	Root	DOK	CONMIN	56	NA	B2	Vegetative	bourceret_2018_001	Root_Vegetative	Root_1_B73	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_56	Root_Vegetative_CONMIN_1_B73	Root_Vegetative_CONMIN_56_1_B73
RT_93H	1_B73	Root	DOK	CONMIN	56	NA	B2	Vegetative	bourceret_2018_001	Root_Vegetative	Root_1_B73	Root_Vegetative_CONMIN	Root_Vegetative_CONMIN_56	Root_Vegetative_CONMIN_1_B73	Root_Vegetative_CONMIN_56_1_B73
RH_73H	3_PH207	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_3_PH207	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_3_PH207	Rhizosphere_Vegetative_CONMIN_6_3_PH207
RH_74H	3_PH207	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_3_PH207	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_3_PH207	Rhizosphere_Vegetative_CONMIN_6_3_PH207
RH_75H	3_PH207	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_3_PH207	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_3_PH207	Rhizosphere_Vegetative_CONMIN_6_3_PH207
RH_79H	4_F2	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_001	Rhizosphere_Vegetative	Rhizosphere_4_F2	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_4_F2	Rhizosphere_Vegetative_CONMIN_6_4_F2
RH_80H	4_F2	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_002	Rhizosphere_Vegetative	Rhizosphere_4_F2	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_4_F2	Rhizosphere_Vegetative_CONMIN_6_4_F2
RH_81H	4_F2	Rhizosphere	DOK	CONMIN	6	NA	B4	Vegetative	bourceret_2018_002	Rhizosphere_Vegetative	Rhizosphere_4_F2	Rhizosphere_Vegetative_CONMIN	Rhizosphere_Vegetative_CONMIN_6	Rhizosphere_Vegetative_CONMIN_4_F2	Rhizosphere_Vegetative_CONMIN_6_4_F2
