Taxon	Total_MSE	Group
OTUF_70	905.344855789389	Stable
OTUF_90	848.096541929435	Stable
OTUF_68	844.041542119789	Stable
OTUF_43	781.531548680984	Dynamic
OTUF_64	776.893098598953	Dynamic
OTUF_25	747.704020489408	Dynamic
OTUF_1	747.515118203666	Stable
OTUF_123	731.365824353598	Dynamic
OTUF_9	696.108154047385	Dynamic
OTUF_7	657.514686250393	Stable
OTUF_50	633.776727601403	Dynamic
OTUF_529	628.673316282426	Dynamic
OTUF_83	605.025054071188	Stable
OTUF_8	576.489959484808	Stable
OTUF_221	575.000465332895	Dynamic
OTUF_54	552.46534600145	Stable
OTUF_343	528.905906642572	Dynamic
OTUF_253	516.438026330241	Dynamic
OTUF_29	501.025364411604	Stable
OTUF_334	493.783462583682	Dynamic
OTUF_246	484.081012048722	Dynamic
OTUF_165	481.537732959402	Dynamic
OTUF_4	442.635628187095	Stable
OTUF_112	436.102839681373	Dynamic
OTUF_2395	429.688146740133	Dynamic
