source	target	weight	p
OTUF_123	OTUF_343	0.501344750958147	0
OTUF_253	OTUF_343	0.504356427279313	0
OTUF_29	OTUF_343	0.580390906656553	0
OTUF_29	OTUF_50	0.785398568305292	0
OTUF_343	OTUF_50	0.567465525481608	0
OTUF_123	OTUF_54	0.598628687769635	0
OTUF_29	OTUF_54	0.577197523695619	0
OTUF_343	OTUF_54	0.713202247508362	0
OTUF_50	OTUF_54	0.610156071318924	0
OTUF_123	OTUF_64	0.510426917118946	0
OTUF_343	OTUF_64	0.50527978244804	0
OTUF_54	OTUF_64	0.565576773644548	0
OTUF_123	OTUF_68	0.559650149630057	0
OTUF_29	OTUF_68	0.707726181372577	0
OTUF_343	OTUF_68	0.729424893342883	0
OTUF_50	OTUF_68	0.744779101949662	0
OTUF_54	OTUF_68	0.817516005409805	0
OTUF_64	OTUF_68	0.514629401857908	0
OTUF_123	OTUF_7	0.608695911587311	0
OTUF_343	OTUF_7	0.643892390910348	0
OTUF_50	OTUF_7	0.548995121455984	0
OTUF_529	OTUF_7	0.601549979084353	0
OTUF_54	OTUF_7	0.798662733133788	0
OTUF_64	OTUF_7	0.506094574282603	0
OTUF_68	OTUF_7	0.726751557314338	0
OTUF_29	OTUF_70	0.674307150472431	0
OTUF_343	OTUF_70	0.612320130052069	0
OTUF_50	OTUF_70	0.697296699622825	0
OTUF_54	OTUF_70	0.763494581459406	0
OTUF_68	OTUF_70	0.746755033284271	0
OTUF_7	OTUF_70	0.723198326433581	0
OTUF_529	OTUF_83	0.936940429150701	0
OTUF_54	OTUF_83	0.536850428483327	0
OTUF_7	OTUF_83	0.620416191833956	0
OTUF_123	OTUF_9	0.668869780894552	0
OTUF_64	OTUF_9	0.505818049069644	0
OTUF_343	OTUF_90	0.587746101197581	0
OTUF_50	OTUF_90	0.500934390860093	0
OTUF_54	OTUF_90	0.616866010146543	0
OTUF_68	OTUF_90	0.564522863625464	0
OTUF_7	OTUF_90	0.653811295659695	0
OTUF_70	OTUF_90	0.609762428006919	0
OTUF_29	PE.34.3	-0.52473260278715	0
OTUF_50	PE.34.3	-0.56122670824522	0
OTUF_70	PE.34.3	-0.634724725234347	0
OTUF_90	PE.34.3	-0.513184961405958	0
PE.34.3	PE.36.6	0.723065891291758	0
OTUF_29	PE.36.5	-0.567370391303303	0
OTUF_50	PE.36.5	-0.589379517226665	0
OTUF_54	PE.36.5	-0.501147083405032	0
OTUF_70	PE.36.5	-0.661344644492966	0
OTUF_90	PE.36.5	-0.554191109177083	0
PE.34.3	PE.36.5	0.901241002312357	0
PE.36.6	PE.36.5	0.727409356639529	0
OTUF_253	PE.36.4	-0.545013372392163	0
OTUF_29	PE.36.4	-0.581073570825278	0
OTUF_343	PE.36.4	-0.605011605633099	0
OTUF_50	PE.36.4	-0.615088118936595	0
OTUF_54	PE.36.4	-0.634899759214856	0
OTUF_64	PE.36.4	-0.577491774188411	0
OTUF_68	PE.36.4	-0.627488641062934	0
OTUF_7	PE.36.4	-0.634236975805942	0
OTUF_70	PE.36.4	-0.66053428869576	0
OTUF_90	PE.36.4	-0.616535306839827	0
PE.34.3	PE.36.4	0.728049475215961	0
PE.36.5	PE.36.4	0.851782647146429	0
OTUF_29	PC.34.2	-0.543518369635913	0
OTUF_343	PC.34.2	-0.517158346877369	0
OTUF_50	PC.34.2	-0.570076760583805	0
OTUF_54	PC.34.2	-0.513506472368278	0
OTUF_64	PC.34.2	-0.516097969247259	0
OTUF_68	PC.34.2	-0.529150229045846	0
OTUF_7	PC.34.2	-0.50774530403156	0
OTUF_70	PC.34.2	-0.616187102791218	0
OTUF_90	PC.34.2	-0.527620676293851	0
PE.34.3	PC.34.2	0.64897566230793	0
PE.36.5	PC.34.2	0.81782806124074	0
PE.36.4	PC.34.2	0.923545934501473	0
OTUF_123	PC.36.6	0.521722025920223	0
PE.36.6	PC.36.6	0.807356057660795	0
MGDG.34.3	PC.36.6	0.64376454140722	0
OTUF_253	PC.36.4	-0.537808317954488	0
OTUF_29	PC.36.4	-0.555029644129713	0
OTUF_343	PC.36.4	-0.56919602374098	0
OTUF_50	PC.36.4	-0.576399820979305	0
OTUF_54	PC.36.4	-0.573221456583737	0
OTUF_64	PC.36.4	-0.559025736362221	0
OTUF_68	PC.36.4	-0.56991931571067	0
OTUF_7	PC.36.4	-0.576149001662803	0
OTUF_70	PC.36.4	-0.641689684365574	0
OTUF_90	PC.36.4	-0.587920413450265	0
PE.34.3	PC.36.4	0.614311554249268	0
PE.36.5	PC.36.4	0.815520214671967	0
PE.36.4	PC.36.4	0.942996670464566	0
PC.34.2	PC.36.4	0.963975305986986	0
PE.36.6	MGDG.36.6	0.599684678619825	0
MGDG.34.3	MGDG.36.6	0.745545023445556	0
PC.36.6	MGDG.36.6	0.868205529881127	0
PE.36.6	MGDG.36.5	0.571518655272964	0
MGDG.34.3	MGDG.36.5	0.808789326459962	0
PC.36.6	MGDG.36.5	0.828591837428162	0
MGDG.36.6	MGDG.36.5	0.889116373304334	0
PE.36.6	DGDG.34.3	0.522565859133703	0
MGDG.34.3	DGDG.34.3	0.902626310724012	0
PC.36.6	DGDG.34.3	0.799900748187553	0
MGDG.36.6	DGDG.34.3	0.879576028921862	0
MGDG.36.5	DGDG.34.3	0.913809464697684	0
OTUF_253	DGDG.34.2	-0.562360530244104	0
OTUF_343	DGDG.34.2	-0.534390701252325	0
OTUF_529	DGDG.34.2	-0.560392741543485	0
OTUF_54	DGDG.34.2	-0.552954704953165	0
OTUF_64	DGDG.34.2	-0.582689829905009	0
OTUF_7	DGDG.34.2	-0.530727615747673	0
OTUF_83	DGDG.34.2	-0.564106278701761	0
OTUF_90	DGDG.34.2	-0.594234723740249	0
PE.36.5	DGDG.34.2	0.534711660391965	0
PE.36.4	DGDG.34.2	0.71010573141672	0
PC.34.2	DGDG.34.2	0.637824085743605	0
PC.36.4	DGDG.34.2	0.732950572364332	0
OTUF_253	DGDG.36.4	-0.518652088200332	0
OTUF_529	DGDG.36.4	-0.51417130725614	0
OTUF_64	DGDG.36.4	-0.512272056431569	0
OTUF_83	DGDG.36.4	-0.533409922279026	0
PE.36.4	DGDG.36.4	0.571844820504601	0
PC.36.4	DGDG.36.4	0.605587278312994	0
DGDG.34.2	DGDG.36.4	0.934351348485669	0
DAG.34.2	DAG.36.5	0.592221518827784	0
OTUF_123	DAG.36.4	-0.539505495896637	0
OTUF_9	DAG.36.4	-0.568524916885243	0
PE.36.4	DAG.36.4	0.56714714837486	0
PC.36.6	DAG.36.4	-0.652212304908192	0
PC.36.4	DAG.36.4	0.512539323679557	0
DGDG.34.3	DAG.36.4	-0.50219394088757	0
DGDG.34.2	DAG.36.4	0.589521615494556	0
DGDG.36.4	DAG.36.4	0.605671206637626	0
DAG.34.2	DAG.36.4	0.795524660687702	0
DAG.36.5	DAG.36.4	0.563988224939662	0
OTUF_253	PE.36.2	-0.54584927716366	0
OTUF_29	PE.36.2	-0.577182818962048	0
OTUF_343	PE.36.2	-0.603419992839095	0
OTUF_50	PE.36.2	-0.613947598869552	0
OTUF_54	PE.36.2	-0.643317377250969	0
OTUF_64	PE.36.2	-0.580956606349402	0
OTUF_68	PE.36.2	-0.626041650838102	0
OTUF_7	PE.36.2	-0.639106361537621	0
OTUF_70	PE.36.2	-0.678501818898992	0
OTUF_90	PE.36.2	-0.634681916176723	0
PE.34.3	PE.36.2	0.724955671003979	0
PE.36.5	PE.36.2	0.829365247097312	0
PE.36.4	PE.36.2	0.971917263347355	0
PC.34.2	PE.36.2	0.886822641797751	0
PC.36.4	PE.36.2	0.916530457677466	0
DGDG.34.2	PE.36.2	0.712765640199359	0
DGDG.36.4	PE.36.2	0.575372079379564	0
DAG.36.4	PE.36.2	0.531179002374844	0
PE.34.3	PC.34.1	0.515356663342702	0
PE.36.5	PC.34.1	0.70657610224589	0
PE.36.4	PC.34.1	0.811092545520692	0
PC.34.2	PC.34.1	0.878927350648833	0
PC.36.4	PC.34.1	0.872911342707882	0
DGDG.34.2	PC.34.1	0.516605657123796	0
PE.36.2	PC.34.1	0.771643781596606	0
PE.36.5	MGDG.34.2	0.523562011006401	0
PE.36.4	MGDG.34.2	0.648538942913083	0
PC.34.2	MGDG.34.2	0.666214954610091	0
PC.36.4	MGDG.34.2	0.737508949598697	0
DGDG.34.2	MGDG.34.2	0.843772781829154	0
DGDG.36.4	MGDG.34.2	0.828365536960255	0
PE.36.2	MGDG.34.2	0.655664178915447	0
PC.34.1	MGDG.34.2	0.627464615709638	0
