PE.34.3	PE.36.6	PE.36.5	PE.36.4	PC.34.2	MGDG.34.3	PC.36.6	PC.36.4	MGDG.36.6	MGDG.36.5	DGDG.34.3	DGDG.34.2	DGDG.36.4	DAG.34.2	DAG.36.5	DAG.36.4	PE.36.2	PC.34.1	MGDG.34.2	MGDG.36.2	DGDG.34.1	DGDG.34.0	DGDG.36.2	DGDG.36.1	TAG.48.1	TAG.48.0	TAG.50.3	TAG.50.2	TAG.50.1	TAG.50.0	TAG.52.5	TAG.52.4	TAG.52.3	TAG.52.2	TAG.52.1	TAG.52.0	TAG.54.9	TAG.54.8	TAG.54.6	TAG.54.5	TAG.54.4	TAG.54.3	TAG.54.2	TAG.56.6	TAG.56.5	TAG.56.3	TAG.56.2	TAG.58.4	TAG.58.3	TAG.54.0	TAG.56.0	TAG.58.2	PS.38.1	PS.38.0	PS.40.2	PS.40.1	SQDG.32.0	SQDG.34.3	SQDG.34.2
OTU_11	22.2525517762028	4.88452220578558	33.5578301561435	23.8186579187636	35.0081354984212	7.91986079270814	6.06342654268688	35.2933591613203	6.97790787200001	5.69197128704336	7.12688149632086	20.6274454498875	10.2787840403122	5.32809076172592	3.65142465514796	5.88908948878254	28.1985712186294	20.976927917001	15.7005247478002	30.0378052873989	9.64000199959406	22.9376238380258	30.1098871295174	30.2875458714369	7.15607750261524	2.99728073408839	16.7513898554108	8.63383121236419	13.493870584228	5.44838362384845	11.1979916872769	14.3307748842933	33.9111135389562	31.0123420693618	17.8056671599625	6.28934672534957	3.21264043789554	8.56500715115506	11.8179617188628	30.13602416916	30.4253352742921	35.1694624325938	20.8310383098242	33.6978728044469	39.5051161259658	28.1032852602233	14.9982930890031	36.9421153257521	35.4363156113952	4.65396092369082	5.32073024957542	24.9738143203179	14.0965331357776	11.5306519300766	17.5147498045664	7.53368129746987	6.53553804174752	27.3476500448341	21.712757916804
OTU_4	28.5530646817273	8.71041415096752	26.4115827054683	27.3632390562055	23.0434970953273	7.93719726056811	9.74263296488849	23.0475475624701	8.64757038674054	13.2673587713072	9.18498089791489	16.2345460400442	7.86385369030615	8.73466255435512	5.23595356669685	6.7450717770573	28.9798699364924	23.9810324765866	9.89729719183939	20.1957427022501	11.9966057751463	13.3201290098921	20.4897131271977	21.5932954418216	12.0003798959503	7.26561668568551	25.6443974083543	17.4376581532871	28.0027443375105	8.855222256822	10.3625257545781	17.1242008729884	32.0873096360201	33.803490556978	33.4239472692028	5.1282234248197	4.7626343714179	6.71064387638477	13.3335683648475	27.4857992167553	27.3850482353026	31.6457393141263	27.1871830332294	25.8651312399777	21.9749179378208	25.4139117456231	21.7041020696957	26.7316997984809	27.4077187519005	4.4780469667786	6.87845218372503	22.205947326773	10.6039802432286	3.39531671867326	10.6856355828652	6.01242750575796	2.94867661758545	10.8839270738504	12.2209456928339
OTU_15	9.546493493758	6.34205623864914	10.4716363082646	20.4383965298568	14.5861331467103	17.4330643630508	8.80580075545599	20.5762202587998	13.3066045646015	7.88783403743098	8.92120064826996	25.3043977058806	25.9875782318935	8.49678091005002	8.55289193799386	18.7571067410096	22.1379158955535	15.2660255125303	14.5318270962025	21.6719634780923	17.8214574917849	11.8192919894985	22.3714925509782	18.904198733728	13.567192259153	7.02335119678519	15.457124214403	22.4014496568186	19.8937107239717	9.60940533347514	7.2035797145192	23.7074370712167	20.7740543564143	20.9379199615594	21.529593819189	12.584719052335	7.24769045521199	7.87564185146481	22.4301826011413	22.020576615172	23.8651130630045	21.2186636201134	24.9475660284322	20.4006315349233	23.925998867641	25.5460252401181	26.4589895133361	24.5874594819972	22.4399012264512	12.6896925126005	6.39242844159076	23.1814790812899	9.81146608634861	3.36130534482366	3.99219779051084	12.8492806920439	10.6085064692025	5.78906910839067	8.22929854831728
OTU_21	11.2361370716408	0.832723810575764	13.7623306846951	19.1712093724572	16.3374721197427	7.51439222080539	11.4627532925015	21.7900659678631	7.49682267309207	10.1552145164493	7.17946277186583	22.0300306803652	22.8376921047974	1.8191926984926	4.33094415124989	10.2478695892082	21.9705893270068	12.0847239275008	20.544904218916	27.1101257506521	16.3848436487882	15.9169995836576	29.2392641741679	21.6959798375422	7.10871640928602	5.37366059065924	11.3729973544607	8.25985596846942	11.4474223342947	3.15169540376016	8.02244922223061	13.4726874048482	21.2979660946309	20.7010548519141	17.5482141353688	8.69491590820041	2.40263442947048	3.02994442473404	14.8166594877729	19.4371916866894	25.7872809012765	23.6658328209273	18.9821064251465	21.920433847435	20.2737119536652	18.8526030913169	11.4237882349548	22.4019264285088	19.7116480232273	10.248333941826	6.4082545570573	19.6418417204627	9.27093531562803	5.66218264244321	11.5431381164688	4.01607513061622	3.5704009201697	7.03986072218471	8.48239033454622
OTU_80	6.40695708265138	1.45373228466015	8.28874423643078	15.6130457523153	10.9567874889985	12.8937949878459	13.360500995114	15.0422296834643	13.257229281293	10.2345144119596	10.0330299175301	18.1075632118426	19.7569472731292	1.18169268853195	1.15524965478681	12.761298809593	16.3970471525662	14.5663977408861	23.1239235904994	20.3008707235394	20.2820790321069	12.4558739748816	20.4799270937039	16.6088054463713	13.3279005558344	6.21970812890635	13.6235955418019	14.4184725597772	10.8926122577069	8.07830901498019	8.29343787452764	17.9858802801214	14.687514650177	13.5629917281585	12.4107900997994	14.3216917389037	6.02011926250232	4.09074200833999	21.4524535690413	20.8403697661259	16.8724159826409	15.2153775193948	17.0665308093509	14.5271708553992	17.9514776790324	17.8047406162062	17.4949764181046	14.9522394302667	15.9116584595356	14.2391875594318	14.355754132505	16.9821302711826	5.70852664405858	4.19803188717786	6.06781508159873	3.70393547784983	9.23052437346808	6.02422612888878	7.30803094520525
OTU_8	26.6047773161007	27.9979041468183	19.550420157856	18.7695401449621	14.8230422457071	3.52115766066536	14.4464616402761	10.859058380247	3.54757232582797	16.2137969676095	9.21922687945747	11.0646137456467	7.64251156182101	14.9266717329627	4.45918425931878	4.9813065974269	24.0009515670396	11.5493134734943	9.14073684772046	12.7490632589764	4.74968676430155	11.5818547144443	14.3293810364668	14.8148256974872	6.15140220999131	9.54556590319161	19.4931209076236	6.1613527915391	9.80258236077005	10.867476554761	10.6818703998916	4.12157198191376	20.4180170145114	18.6380872233339	13.3140702936365	5.82923753182542	17.1260794706414	10.7124504723363	6.88693108859648	15.5449987344849	17.2751019658704	20.7901818658668	17.0776695250391	13.8711972711003	15.0363902736578	21.1049171196873	12.2521885350792	18.6810130981695	20.2208551183158	6.84493582757711	8.7012404906737	18.1892269966478	4.8266730281736	3.09899874917298	7.3092855613142	7.09843333367311	7.87935104045349	12.5812056610612	14.4978813538661
OTU_53	15.9262574284182	4.91075179893539	17.5538802298182	13.0145643684343	12.6365771639129	5.8398490947362	7.80331742948023	15.2897633466766	6.17431810984618	7.98492626008654	6.49080950462973	18.7157501660785	10.6917356788412	6.20242469124223	3.90298466349138	4.48977906857358	16.1121305586452	12.6951210174455	13.3547485488969	20.1905447554132	10.7176562714088	20.9269627393718	23.800171424717	24.172954889951	6.21154330577513	2.2067237875948	20.7635238065701	12.5935931615709	9.99442327749655	4.99250094165911	11.3745744382655	12.0683048183573	21.0983357907069	16.5651791097076	10.7501335406385	7.02960529381032	5.51699442842848	5.08200722589165	12.7057026478111	18.406374390916	17.8052683227583	21.6714233992865	14.20823906169	18.943162291231	19.950489140553	19.0309180501731	14.8217801077275	18.8803574092861	24.2196732487788	6.82848662018272	4.96955025711779	17.2271633888899	8.96649544717692	7.21662589752295	8.25986884669565	10.1075210675814	3.54862583561437	7.28241910804606	7.77289600395642
OTU_132	2.29687369439721	7.81614029387203	2.36388717790512	0.584147438832928	5.82158915415733	1.62355674160814	13.8715382447351	4.9914484556967	1.26966638285875	0.773620364760049	1.9016548451545	1.17384050715024	-0.0683274893603114	39.0817573760061	40.5270654235259	27.0719613450829	1.0620479639895	11.2072036307402	9.97955780536957	15.807324141825	1.09156655177219	13.5884395091375	0.852752400053026	2.02070212567908	14.4499051239886	28.2392584681102	4.65986124218041	5.48975384470457	5.43348089072831	32.8680016941655	-0.365511014817636	0.679575042967817	3.45991793971075	1.13312776933324	3.9612864095475	24.5453261262543	12.731833018845	29.1203074898973	0.00988133690465732	4.46017254563663	0.585098481594151	3.10993542690083	1.27225180901082	0.857646331380819	8.47859920174111	1.98348286215467	3.07191223438963	0.807537112354008	3.11752113540465	20.1738400625465	17.8572892688083	2.7018619816536	41.8260696244257	15.1678801959052	35.9057174801671	40.8859315913878	36.5533900693896	10.7494210969781	17.5708026813127
OTU_3	12.2383031629467	13.7062608149451	13.8100150443064	12.8809538947095	11.2717447283535	12.5320492401177	14.5409480058379	12.051497575147	8.64857342041262	11.9772311062818	12.5003882514358	9.86429882474419	6.92142800775758	12.9305458391548	5.68314130288538	10.3043322127107	11.817215898768	10.1423622146125	5.49224488291914	5.44291330582051	4.41326251149132	9.62063849948015	7.3272688335047	7.18234997580138	13.5170351633281	19.1093218366603	5.11613469351043	8.41124772065368	13.8954001102634	12.3928036086221	10.252096139657	7.59265475009406	8.79988322858099	10.9181947977507	13.7578179832047	12.6056656505574	14.9506176765468	8.71089351021392	8.67004181797113	9.7331364279146	10.128793625588	11.0803562877656	14.4676337758107	6.20072080297275	8.7690834203566	10.4668601592485	10.3253469764647	8.99916919663116	8.73951830828481	13.3330589688477	12.088909531748	8.59863215080391	8.02036154936306	5.98628023425617	8.9776713234579	12.14811545879	13.232749950334	16.8635052046567	12.7574899092417
OTU_34	1.00570830079619	2.74339324366499	3.30516545641015	12.5295254624857	3.86970425034577	30.2278434542199	20.4085554395496	8.91482574478952	33.6111908939383	23.9750621405291	27.8477585826248	8.57670648182716	11.8455893451992	1.42943892276311	2.32733218611485	16.2480635315717	9.80302283515536	8.14584725749702	5.74599843455435	6.75303108106856	4.89584958572978	5.15829149764925	6.22574792904069	4.66391589610356	22.5087908432948	8.91911492785099	4.86049158417437	16.226941532488	13.7111966693097	7.36071551427108	3.89651260264487	9.67506213574597	5.25207780844854	7.37369266683252	13.3653840336304	19.7124202839831	7.36402437862532	4.41692766780369	12.4865499022546	5.50363540439209	7.32982588869185	8.24102921433179	14.5839967844696	2.81257218591317	4.1536220582338	11.2431081202243	20.0389599838767	5.78950244601158	5.3537748532578	20.0847112883276	20.5164005519182	10.2435060277459	3.96445798009618	1.38514400614258	7.40575669487878	1.68240666004041	19.5725353155859	6.45033559320864	5.60846450130658
