Group1	Group2	Significance	Sig	FDR	Sig_FDR
NK_Reproductive	NK_Vegetative	8.00446647902628e-06	TRUE	2.66815549300876e-05	TRUE
NPK_Reproductive	NPK_Vegetative	0.0423516103127013	TRUE	0.0605023004467161	FALSE
CONMIN_Reproductive	CONMIN_Vegetative	7.34381642585521e-23	TRUE	7.34381642585521e-22	TRUE
BIODYN_Reproductive	BIODYN_Vegetative	5.12797958542985e-22	TRUE	2.56398979271493e-21	TRUE
NK	NPK	0.01049303792709	TRUE	0.01748839654515	TRUE
NK	CONMIN	0.00189695382497715	TRUE	0.0037939076499543	TRUE
NK	BIODYN	0.000757525251712668	TRUE	0.00189381312928167	TRUE
NPK	CONMIN	0.443063876838505	FALSE	0.492293196487228	FALSE
NPK	BIODYN	0.418943136658191	FALSE	0.492293196487228	FALSE
CONMIN	BIODYN	0.999595913292746	FALSE	0.999595913292746	FALSE
