Group1	Group2	Significance	Sig	FDR	Sig_FDR
NK_Reproductive	NK_Vegetative	0.0429962318806731	TRUE	0.0477735909785257	TRUE
NPK_Reproductive	NPK_Vegetative	0.00499439622062414	TRUE	0.00832399370104023	TRUE
CONMIN_Reproductive	CONMIN_Vegetative	1.91307188360808e-09	TRUE	9.5653594180404e-09	TRUE
BIODYN_Reproductive	BIODYN_Vegetative	0.000154580020340621	TRUE	0.000386450050851553	TRUE
NK	NPK	0.0175485193592368	TRUE	0.021935649199046	TRUE
NK	CONMIN	3.602616109787e-07	TRUE	1.20087203659567e-06	TRUE
NK	BIODYN	6.2962500463385e-10	TRUE	6.2962500463385e-09	TRUE
NPK	CONMIN	0.00607947603053315	TRUE	0.0086849657579045	TRUE
NPK	BIODYN	0.000806110551261907	TRUE	0.00161222110252381	TRUE
CONMIN	BIODYN	0.271764000243517	FALSE	0.271764000243517	FALSE
