Group1	Group2	Significance	Sig	Kingdom	FDR	Sig_FDR
RP_NPK_pht1;6	VG_NPK_pht1;6	0.0649350649350649	FALSE	Fungi	0.142045454545454	FALSE
VG_NK_B73	VG_NK_pht1;6	0.00216450216450216	TRUE	Fungi	0.0142045454545454	TRUE
VG_NK_B73	VG_NPK_B73	0.484848484848485	FALSE	Fungi	0.585161964472309	FALSE
VG_NK_B73	VG_NPK_pht1;6	0.588744588744589	FALSE	Fungi	0.671936758893281	FALSE
VG_NK_pht1;6	VG_NPK_B73	0.025974025974026	TRUE	Fungi	0.0717703349282297	FALSE
VG_NK_pht1;6	VG_NPK_pht1;6	0.30952380952381	FALSE	Fungi	0.43918918918919	FALSE
VG_NPK_B73	VG_NPK_pht1;6	0.17965367965368	FALSE	Fungi	0.2994227994228	FALSE
RP	VG	0.407115953422494	FALSE	Oomycetes	0.51502620613689	FALSE
NK_RP	NPK_RP	0.00829316060168126	TRUE	Oomycetes	0.0313479623824451	TRUE
NK_RP	NK_VG	0.798745338656498	FALSE	Oomycetes	0.85058505850585	FALSE
NK_RP	NPK_VG	0.00143260965713517	TRUE	Oomycetes	0.0142045454545454	TRUE
NPK_RP	NK_VG	0.00555959049699795	TRUE	Oomycetes	0.0265344091902175	TRUE
NPK_RP	NPK_VG	0.0887337860685552	FALSE	Oomycetes	0.180976430976431	FALSE
NK_VG	NPK_VG	0.00291403306613968	TRUE	Oomycetes	0.0179984395261568	TRUE
RP_NK_B73	RP_NK_pht1;6	0.0411255411255411	TRUE	Oomycetes	0.105321507760532	FALSE
RP_NK_B73	RP_NPK_B73	0.484848484848485	FALSE	Oomycetes	0.585161964472309	FALSE
RP_NK_B73	RP_NPK_pht1;6	0.0930735930735931	FALSE	Oomycetes	0.180976430976431	FALSE
RP_NK_B73	VG_NK_B73	0.699134199134199	FALSE	Oomycetes	0.756794751640112	FALSE
RP_NK_B73	VG_NK_pht1;6	0.393939393939394	FALSE	Oomycetes	0.504434589800444	FALSE
RP_NK_B73	VG_NPK_B73	0.0151515151515152	TRUE	Oomycetes	0.0497159090909093	TRUE
RP_NK_B73	VG_NPK_pht1;6	0.24025974025974	FALSE	Oomycetes	0.365612648221344	FALSE
RP_NK_pht1;6	RP_NPK_B73	0.0649350649350649	FALSE	Oomycetes	0.142045454545454	FALSE
