Stage	Management	Genotype_1	Genotype_2	p_value	Fold_change	Meta
VG	NK	B73	pht1;6	1	-1.01312853114497	TAG.52.1
VG	NK	B73	pht1;6	0.0714285714285714	-1.04819450564697	TAG.52.0
VG	NK	B73	pht1;6	0.142857142857143	1.04228187402662	TAG.54.9
VG	NK	B73	pht1;6	0.0714285714285714	1.03084444888045	TAG.54.8
VG	NK	B73	pht1;6	0.0714285714285714	1.03772190493484	TAG.54.5
VG	NK	B73	pht1;6	0.142857142857143	1.02111083880942	TAG.54.4
VG	NK	B73	pht1;6	0.642857142857143	1.0226197654688	TAG.54.3
VG	NK	B73	pht1;6	0.285714285714286	1.03202612963441	TAG.56.7
VG	NK	B73	pht1;6	1	-1.0065251743251	TAG.56.3
VG	NK	B73	pht1;6	0.285714285714286	-1.02906990377732	TAG.56.2
VG	NK	B73	pht1;6	0.142857142857143	1.02619126116237	TAG.60.5
VG	NK	B73	pht1;6	0.428571428571429	-1.01575580039789	TAG.54.0
VG	NK	B73	pht1;6	0.642857142857143	1.00572357798978	TAG.56.0
VG	NK	B73	pht1;6	0.642857142857143	1.0160617849641	PS.38.0
VG	NK	B73	pht1;6	0.142857142857143	1.0204062806755	PS.40.2
VG	NK	B73	pht1;6	0.142857142857143	1.05479426734531	PS.42.3
VG	NK	B73	pht1;6	0.0714285714285714	1.02563001512982	SQDG.32.0
VG	NK	B73	pht1;6	0.0714285714285714	1.05184788259197	SQDG.34.3
VG	NK	B73	pht1;6	0.0714285714285714	1.03496586511953	SQDG.34.2
VG	NK	B73	pht1;6	0.0714285714285714	1.02669121722975	SQDG.36.4
VG	NPK	B73	pht1;6	0.0952380952380952	-1.00987630450422	PE.34.3
VG	NPK	B73	pht1;6	0.547619047619048	-1.00401433722549	PE.36.6
VG	NPK	B73	pht1;6	0.714285714285714	-1.00163258156975	PE.36.5
VG	NPK	B73	pht1;6	0.0476190476190476	-1.00564013931215	PE.36.4
VG	NPK	B73	pht1;6	0.0238095238095238	1.04873230094255	MGDG.34.3
VG	NPK	B73	pht1;6	1	1.00433472586322	PC.36.6
VG	NPK	B73	pht1;6	0.904761904761905	-1.00002424767681	PC.36.4
VG	NPK	B73	pht1;6	0.364150265595905	1.00455909619911	MGDG.36.6
VG	NPK	B73	pht1;6	0.0238095238095238	1.01810860176046	MGDG.36.5
VG	NPK	B73	pht1;6	0.0238095238095238	1.05262870374402	MGDG.36.4
VG	NPK	B73	pht1;6	0.0238095238095238	1.02009225083928	DGDG.34.3
VG	NPK	B73	pht1;6	0.0518217938321016	1.0062094818822	DGDG.34.2
VG	NPK	B73	pht1;6	0.0476190476190476	1.0079658602668	DGDG.36.6
VG	NPK	B73	pht1;6	0.0275318938756296	1.02639081598719	DGDG.36.4
VG	NPK	B73	pht1;6	0.380952380952381	1.01309782036269	DAG.36.4
VG	NPK	B73	pht1;6	0.0238095238095238	1.02344582177938	PC.34.1
VG	NPK	B73	pht1;6	0.0238095238095238	1.04679012716028	MGDG.34.2
VG	NPK	B73	pht1;6	0.0238095238095238	1.12212058389976	MGDG.36.3_1
VG	NPK	B73	pht1;6	0.0238095238095238	1.08817070487497	MGDG.36.2
VG	NPK	B73	pht1;6	0.0238095238095238	1.02930255744844	DGDG.34.1
VG	NPK	B73	pht1;6	0.0238095238095238	1.03855829202252	DGDG.36.2
VG	NPK	B73	pht1;6	0.0238095238095238	1.04063601939437	DGDG.36.1
VG	NPK	B73	pht1;6	0.0476190476190476	-1.1272314102799	TAG.48.1
VG	NPK	B73	pht1;6	0.0238095238095238	-1.09803638718681	TAG.48.0
VG	NPK	B73	pht1;6	0.547619047619048	-1.03788736623705	TAG.50.3
VG	NPK	B73	pht1;6	0.0238095238095238	-1.09216362899165	TAG.50.1
VG	NPK	B73	pht1;6	0.0238095238095238	-1.08767339199683	TAG.50.0
VG	NPK	B73	pht1;6	0.714285714285714	1.00400206723036	TAG.52.5
VG	NPK	B73	pht1;6	0.904761904761905	-1.00068157326504	TAG.52.4
VG	NPK	B73	pht1;6	0.0952380952380952	1.01898431774247	TAG.52.3
VG	NPK	B73	pht1;6	0.0238095238095238	-1.03902332915644	TAG.52.2
VG	NPK	B73	pht1;6	0.0380559209998678	-1.05400997567833	TAG.52.1
VG	NPK	B73	pht1;6	0.0952380952380952	-1.04249317741972	TAG.52.0
VG	NPK	B73	pht1;6	0.0238095238095238	1.05754433334204	TAG.54.9
VG	NPK	B73	pht1;6	0.0952380952380952	1.02130806309941	TAG.54.8
VG	NPK	B73	pht1;6	0.0238095238095238	1.02516244527624	TAG.54.5
VG	NPK	B73	pht1;6	0.261904761904762	1.00892276187621	TAG.54.4
VG	NPK	B73	pht1;6	0.714285714285714	-1.00490118744551	TAG.54.3
VG	NPK	B73	pht1;6	1	1.00462897900252	TAG.56.7
VG	NPK	B73	pht1;6	0.261904761904762	-1.02149202127881	TAG.56.3
VG	NPK	B73	pht1;6	0.166666666666667	-1.03653434920527	TAG.56.2
VG	NPK	B73	pht1;6	0.714285714285714	1.01251337840833	TAG.60.5
VG	NPK	B73	pht1;6	0.261904761904762	-1.01407184634355	TAG.54.0
VG	NPK	B73	pht1;6	0.380952380952381	1.01514888418723	TAG.56.0
VG	NPK	B73	pht1;6	0.0238095238095238	1.01970802937247	PS.38.0
VG	NPK	B73	pht1;6	0.0238095238095238	1.03085401678965	PS.40.2
VG	NPK	B73	pht1;6	0.0952380952380952	1.05968959457302	PS.42.3
VG	NPK	B73	pht1;6	0.0238095238095238	1.03478093686737	SQDG.32.0
VG	NPK	B73	pht1;6	0.0476190476190476	1.03722559523481	SQDG.34.3
VG	NPK	B73	pht1;6	0.0238095238095238	1.02743466252104	SQDG.34.2
VG	NPK	B73	pht1;6	0.0275318938756296	1.03704890357635	SQDG.36.4
RP	NK	B73	pht1;6	0.588744588744589	-1.00382465670534	PE.34.3
RP	NK	B73	pht1;6	0.24025974025974	1.00970374217464	PE.36.6
RP	NK	B73	pht1;6	0.260658123811313	1.00792474544801	PE.36.5
RP	NK	B73	pht1;6	0.377642391380866	1.00631528774372	PE.36.4
RP	NK	B73	pht1;6	0.00432900432900433	1.04607258486211	MGDG.34.3
RP	NK	B73	pht1;6	1	1.00140063755593	PC.36.6
RP	NK	B73	pht1;6	0.24025974025974	1.0100625085809	PC.36.4
RP	NK	B73	pht1;6	0.0649350649350649	1.01768457341975	MGDG.36.6
RP	NK	B73	pht1;6	0.00216450216450216	1.03044268261525	MGDG.36.5
RP	NK	B73	pht1;6	0.00216450216450216	1.05372352456441	MGDG.36.4
RP	NK	B73	pht1;6	0.00432900432900433	1.03264306612066	DGDG.34.3
RP	NK	B73	pht1;6	0.00216450216450216	1.02754049204995	DGDG.34.2
RP	NK	B73	pht1;6	0.0411255411255411	1.02429072767447	DGDG.36.6
RP	NK	B73	pht1;6	0.00216450216450216	1.04517730206331	DGDG.36.4
RP	NK	B73	pht1;6	0.0649350649350649	1.01219770185111	DAG.36.4
RP	NK	B73	pht1;6	0.17965367965368	1.0321485910032	PC.34.1
RP	NK	B73	pht1;6	0.00216450216450216	1.05213153868295	MGDG.34.2
RP	NK	B73	pht1;6	0.00216450216450216	1.08614124093679	MGDG.36.3_1
RP	NK	B73	pht1;6	0.00216450216450216	1.04646524674619	MGDG.36.2
RP	NK	B73	pht1;6	0.00432900432900433	1.05214839280504	DGDG.34.1
RP	NK	B73	pht1;6	0.00216450216450216	1.02373074424859	DGDG.36.2
RP	NK	B73	pht1;6	0.00432900432900433	1.04950764070569	DGDG.36.1
RP	NK	B73	pht1;6	0.025974025974026	-1.03305811745077	TAG.48.1
RP	NK	B73	pht1;6	0.00432900432900433	-1.03364927633273	TAG.48.0
RP	NK	B73	pht1;6	0.393939393939394	-1.0225461825898	TAG.50.3
RP	NK	B73	pht1;6	0.0649350649350649	-1.0287363565934	TAG.50.1
RP	NK	B73	pht1;6	0.00216450216450216	-1.0210945639145	TAG.50.0
RP	NK	B73	pht1;6	0.574503810234666	1.00404658251	TAG.52.5
RP	NK	B73	pht1;6	0.393939393939394	1.00493699964403	TAG.52.4
RP	NK	B73	pht1;6	0.630355526361864	-1.00547938566712	TAG.52.3
RP	NK	B73	pht1;6	0.172732829130551	-1.01426253632139	TAG.52.2
RP	NK	B73	pht1;6	0.0649350649350649	-1.02735482817804	TAG.52.1
RP	NK	B73	pht1;6	0.00216450216450216	-1.02917130045503	TAG.52.0
RP	NK	B73	pht1;6	0.630355526361864	1.00093089265369	TAG.54.9
RP	NK	B73	pht1;6	0.630355526361864	1.00401793446671	TAG.54.8
RP	NK	B73	pht1;6	0.818181818181818	1.00080258324106	TAG.54.5
RP	NK	B73	pht1;6	0.818181818181818	-1.00327634475054	TAG.54.4
