Group1	Group2	Significance	Sig	FDR	Sig_FDR
Rhizosphere	Root	1.01872295849777e-111	TRUE	8.14978366798216e-111	TRUE
Rhizosphere	Bulksoil	2.98569601349336e-20	TRUE	4.77711362158938e-20	TRUE
Root	Bulksoil	1.47088073555564e-71	TRUE	5.88352294222256e-71	TRUE
Rhizosphere_Reproductive	Rhizosphere_Vegetative	1.23390803124944e-45	TRUE	2.46781606249888e-45	TRUE
Root_Reproductive	Root_Vegetative	1.29952288813247e-46	TRUE	3.46539436835325e-46	TRUE
Bulksoil_Reproductive	Bulksoil_before_sowing	0.674873647111033	FALSE	0.674873647111033	FALSE
Bulksoil_Reproductive	Bulksoil_Vegetative	0.174848833738873	FALSE	0.199827238558712	FALSE
Bulksoil_before_sowing	Bulksoil_Vegetative	0.0479682128932831	TRUE	0.0639576171910441	FALSE
