Group1	Group2	Significance	Sig	FDR	Sig_FDR
23	19	0.00216450216450216	TRUE	0.00505050505050504	TRUE
23	6	0.0666666666666667	FALSE	0.0777777777777778	FALSE
23	56	0.00216450216450216	TRUE	0.00505050505050504	TRUE
23	96	0.00216450216450216	TRUE	0.00505050505050504	TRUE
23	12	0.00432900432900433	TRUE	0.0071301247771836	TRUE
23	50	0.00216450216450216	TRUE	0.00505050505050504	TRUE
23	90	0.00216450216450216	TRUE	0.00505050505050504	TRUE
19	6	0.257142857142857	FALSE	0.266666666666666	FALSE
19	56	0.00216450216450216	TRUE	0.00505050505050504	TRUE
19	96	0.00216450216450216	TRUE	0.00505050505050504	TRUE
19	12	0.00432900432900433	TRUE	0.0071301247771836	TRUE
19	50	0.0411255411255411	TRUE	0.0500658761528326	FALSE
19	90	0.00216450216450216	TRUE	0.00505050505050504	TRUE
6	56	0.0380952380952381	TRUE	0.0500658761528326	FALSE
6	96	0.00952380952380952	TRUE	0.0140350877192982	TRUE
6	12	0.0158730158730159	TRUE	0.0222222222222223	TRUE
6	50	0.114285714285714	FALSE	0.128	FALSE
6	90	0.00952380952380952	TRUE	0.0140350877192982	TRUE
56	96	0.00216450216450216	TRUE	0.00505050505050504	TRUE
56	12	0.930735930735931	FALSE	0.930735930735931	FALSE
56	50	0.0411255411255411	TRUE	0.0500658761528326	FALSE
56	90	0.00216450216450216	TRUE	0.00505050505050504	TRUE
96	12	0.00432900432900433	TRUE	0.0071301247771836	TRUE
96	50	0.00216450216450216	TRUE	0.00505050505050504	TRUE
96	90	0.24025974025974	FALSE	0.258741258741258	FALSE
12	50	0.00432900432900433	TRUE	0.0071301247771836	TRUE
12	90	0.00432900432900433	TRUE	0.0071301247771836	TRUE
50	90	0.00216450216450216	TRUE	0.00505050505050504	TRUE
